DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/14/2025,06,5GNR,Illinois/Wisconsin,204,Chicago,5GNB_APPLE_LINCOLN_IB,2040839,0000,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/14/2025,06,5GNR,Illinois/Wisconsin,204,Chicago,5GNB_APPLE_MICHIGAN_IB,2040832,0000,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/14/2025,06,5GNR,Illinois/Wisconsin,204,Chicago,5GNB_ARAGON_BALLROOM,2040850,0000,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,88.89,88.89,0,0,0,0
09/14/2025,06,5GNR,Illinois/Wisconsin,204,Chicago,5GNB_ARAGON_BALLROOM,2040850,0010,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/14/2025,06,5GNR,Illinois/Wisconsin,204,Chicago,5GNB_ARAGON_BALLROOM,2040850,0011,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/14/2025,06,5GNR,Illinois/Wisconsin,204,Chicago,5GNB_ARAGON_BALLROOM,2040850,0012,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/14/2025,06,5GNR,Illinois/Wisconsin,204,Chicago,5GNB_ARAGON_BALLROOM,2040850,0013,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/14/2025,06,5GNR,Illinois/Wisconsin,204,Chicago,5GNB_ARAGON_BALLROOM,2040850,0014,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
09/14/2025,06,5GNR,Illinois/Wisconsin,204,Chicago,5GNB_ARAGON_BALLROOM,2040850,0015,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/14/2025,06,5GNR,Illinois/Wisconsin,204,Chicago,5GNB_ARAGON_BALLROOM,2040850,0016,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
