DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT,DL_GTP_Data_Volume_MB,ENDC_Sessions,Intra_CU_HO_Attempts,Intra_CU_HO_Success,Intra_CU_HO_Success_Rate_%,Max_ENDC_Sessions,SgNB_Modification_Attempts,SgNB_Modification_Success,SgNB_Modification_Success_Rate_%,UL_GTP_Data_Volume_MB,Drop_Den,Drop_Num,Drop_rate_%,Attach_Success_Den,Attach_Success_Num,Attach_Success_rate_%
09/05/2025,00,5GNR,New England,056,Boston - W Roxbury 1,27WSBO,0560069,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,95.15,35,0,0,NaN,11,1089,1089,100,12.13,2174,5,0.23,2141,2141,100
09/05/2025,00,5GNR,New England,056,Boston - W Roxbury 1,5GNB_150_CAUSEWAY_ST_IDAS_MA,0560984,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0,95.15,35,0,0,NaN,11,1089,1089,100,12.13,2174,5,0.23,2141,2141,100
09/05/2025,00,5GNR,New England,056,Boston - W Roxbury 1,5GNB_APPLE_STORE_BOYLSTON_ST_SPCL,0560998,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0,95.15,35,0,0,NaN,11,1089,1089,100,12.13,2174,5,0.23,2141,2141,100
09/05/2025,00,5GNR,New England,056,Boston - W Roxbury 1,5GNB_APPLE_STORE_CAMBRIDGE_MA,0560985,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,95.15,35,0,0,NaN,11,1089,1089,100,12.13,2174,5,0.23,2141,2141,100
09/05/2025,00,5GNR,New England,056,Boston - W Roxbury 1,5GNB_APPLE_STORE_CAMBRIDGE_MA,0560997,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,95.15,35,0,0,NaN,11,1089,1089,100,12.13,2174,5,0.23,2141,2141,100
09/05/2025,00,5GNR,New England,056,Boston - W Roxbury 1,5GNB_CAUSEWAY_ST_IDAS_MA,0560983,75.48,26,0,0,NaN,9,623,623,100,8.59,100,1245,1245,0.08,1,1245,77.32,4.27,0.01,0,5.3,0,56.57,56.57,26,1245,703.55,701.51,95.15,35,0,0,NaN,11,1089,1089,100,12.13,2174,5,0.23,2141,2141,100
09/05/2025,00,5GNR,New England,056,Boston - W Roxbury 1,5GNB_Hub_on_Causeway_Boston_MA_SPCL,0560986,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,95.15,35,0,0,NaN,11,1089,1089,100,12.13,2174,5,0.23,2141,2141,100
09/05/2025,00,5GNR,New England,056,Boston - W Roxbury 1,5GNB_Hub_on_Causeway_Boston_MA_SPCL,0560988,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,95.15,35,0,0,NaN,11,1089,1089,100,12.13,2174,5,0.23,2141,2141,100
09/05/2025,00,5GNR,New England,056,Boston - W Roxbury 1,5GNB_VZW_DESTINATION_STORE,0560982,19.65,10,0,0,NaN,6,487,487,100,3.52,100,926,926,0.43,4,926,61.84,3.7,0.11,0.04,0.7,0,100,100,10,926,183.16,182.55,95.15,35,0,0,NaN,11,1089,1089,100,12.13,2174,5,0.23,2141,2141,100
09/05/2025,00,5GNR,New England,056,Boston - W Roxbury 1,WNDS,0569040,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,95.15,35,0,0,NaN,11,1089,1089,100,12.13,2174,5,0.23,2141,2141,100
