DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%,pmHoExeAttOutIntraGnb,pmRadioRaCbFailMsg1Ooc
09/04/2025,09,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0001,10,1,2004,0.05,0.21,77,1912,4.03,21734.58,1644.59,68,96.06,9.59,95.09,68.27,56.48,0.84,88.43,19.22,54868,25661220,173876.65,1966.2,2004,2003,100,56.52,4.03,21283.87,19850.35,1649.65,63.38,2.83,0,7213.07,501.64,7.53,3.22,53.26,4.54,4.73,0.07,12637.25,863.19,11.12,0.57,20,20,20,16,566,0,599,33.89,30.41,37.75,12784,4826,-114.41,0,228,17
09/04/2025,09,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0001,11,0,340,0,0.16,7,356,1.97,7116.85,236.29,18,99.92,4.36,31.55,31.61,126.8,2.76,62.55,8.32,1020,620160,56934.82,910.23,340,340,100,126.8,1.97,6269,6258.82,235.99,157.38,1.64,0,3121.67,75.73,5.29,3.66,79.07,2.14,1.61,0,3137.16,142.84,3.41,2.48,6,6,6,2,122,0,120,49.8,32.09,33.44,1821,609,-113.85,0,9,3
09/04/2025,09,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0002,10,1,1945,0.05,0.19,113,1949,5.8,25841.25,1646.78,69,95.12,17.65,94.92,73.67,59.9,0.86,97.43,19.28,42583,22326655,206729.97,2121.76,1945,1944,100,60.06,5.8,26736.59,21936,1647.5,47.35,1.94,0,4001.45,77.96,14.91,2.86,56.93,6.25,6.29,0.06,17934.38,1096.27,13.58,0.68,6,6,6,4,206,0,204,14.97,4.73,21.55,11463,2470,-113.58,0.01,312,14
09/04/2025,09,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0002,11,1,580,0.17,0.89,34,592,5.74,5079.42,1043.04,20,99.49,23.89,38.69,24.57,101.54,10.43,57.42,29.96,9330,1045740,40635.32,707.75,580,579,100,99.22,5.74,3857.62,3812.23,1043.07,129.25,17.31,0,141.68,642.68,1.53,21.37,99.86,1.61,6.59,0.24,3670.56,265.93,18.84,5.3,6,6,6,27,156,0,156,3.67,61.61,21.4,1790,383,-115.11,0,17,13
09/04/2025,09,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0003,10,3,2696,0.11,0.19,66,2680,2.46,29834.39,3475.66,83,98.11,12.68,98.99,78,57.23,0.91,106.25,39.01,66245,35331080,238675.14,2246.3,2696,2693,100,57.18,2.46,29170.91,22998.14,3494.55,141.51,0,0,1947.3,56.99,10.62,1.32,49.06,2.59,7.26,0.12,21043.95,1879.69,12.47,0.62,9,9,9,0,92,0,96,6.68,1.63,17.34,13095,2271,-114.26,0,288,10
09/04/2025,09,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0003,11,1,672,0.15,0.3,6,648,0.93,4328.83,356.04,20,99.49,17.1,31.77,22.63,102.83,4.43,53.14,12.45,3967,1313088,34630.63,651.63,672,671,100,102.4,0.93,3706.08,3570.99,355.9,32.23,8.33,0,2.5,3.75,7.63,7.22,102.71,0.79,4.27,0.15,3568.45,306.73,17.45,4.37,2,2,2,1,12,0,9,0.07,1.05,18.55,1951,362,-114.87,0,18,3
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0001,04,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0001,08,0,122,0,0.07,0,134,0,634.9,116.87,5,99.07,17.75,17.53,11.19,49.2,0.95,12.61,1.48,122,183732,5079.22,402.82,122,122,100,50.4,0,1345.42,215.55,113.23,13.82,0,0,0.26,0.29,1.38,1.98,29.8,0,10.34,0,215.29,44.78,8.04,0.64,1,1,1,0,10,0,2,0.02,0.25,11.1,1505,167,-118.57,0,53,1
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0002,04,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0
09/04/2025,09,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0002,08,0,53,0,0.19,0,57,0,1092.71,178.77,3,98.92,14.48,11.07,16.18,38.66,4.26,15.01,3.59,212,111724,8741.69,582.57,53,53,100,39.85,0,1330.49,83.2,177.37,NaN,NaN,NaN,0,0,NaN,NaN,27.98,0,0,0,83.2,6.93,6.59,0.99,0,0,0,0,0,0,0,0,0,12.02,2104,253,-119.34,0,73,3
