DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
09/04/2025,17,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,5,6880,0.07,0.23,404,6747,5.99,133854.42,6186.62,229,98.39,9.3,67.21,45.99,97.08,1.36,134.75,17.04,597765,254924640,1070835.39,7946.67,6880,6875,100,97.06,5.99,130203.66,121317.54,6194.66,143.29,6.64,0,79688.3,1631.52,7.36,3.1,60.11,5.81,2.9,0.09,41628.69,3092.35,12.57,1.01,54,9,17,82,1235,0,1281,61.2,26.34,0,0,24,0,0,54,2,0,0,54,1.85,15.63,0.91,147.8,0.24,0,0,2,9.51,0,26.67,36993,9865,-113.59,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0,139,0,0.09,1,133,0.75,1967.34,693.88,7,97.67,17.33,11.25,11.69,35.79,4.21,12.47,4.57,556,611600,15738.69,1262.33,139,139,50,36.31,1.08,2912.32,182.73,685.91,4.5,0,0,0.24,0.31,1.52,2.13,20.03,1.16,3.49,0,182.49,19.35,8.55,0.89,2,0.67,2,0,7,0,6,0.01,0.05,0,0,10,0,0,25,1,0,0,25,0,14.13,0,32.01,NaN,0,0,1,2.2,0,14.15,4396,622,-118.75,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,4,5496,0.07,3.63,109,5122,2.13,90399.74,5325.01,185,98.89,6.61,26.18,34.55,64.68,2.39,74.55,10.76,9594704,264357600,723197.93,9701.35,5496,5492,100,64.9,2.13,88336.05,79419.98,5327.38,132.42,1.14,0,51126.54,1707.21,2.15,4.64,44.07,2.22,0.33,0.08,28281.89,2640.83,11.65,1.85,64,7.11,19,5,438,0,515,57.88,32.05,0,0,10,0,0,36,2,0,0,36,0,10.9,0.04,23.58,1.93,0,0,2,1.89,0,45.36,46388,21042,-115.16,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1439028,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1437396,3,5403,0.06,2.93,115,5081,2.26,84143.56,10649.57,196,97.87,7.11,60.99,40.23,89.89,2.82,96.84,32.34,7012716,239741916,673148.47,6951.39,5403,5400,100,89.9,2.26,83083.62,68113.38,10652.94,118.36,0.43,0,34604.56,1039.54,4.04,3.82,66.9,2.56,0.59,0.06,33495.33,3660.96,10.9,1.22,58,9.67,13,3,704,0,721,41.65,9.76,0,0,65,1.02,1,98,4,1.02,1,98,0,55.28,8.79,140.96,0.94,0,1.02,4,2.17,0,40.29,43098,17365,-113.27,0.06
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1439396,0,183,0,4.03,1,172,0.58,724.79,158.87,7,99.18,15.02,2.68,3.32,69.7,3.74,16.17,4.39,22509,559065,5798.35,358.63,183,183,100,71.19,0.68,919.35,71.82,153.48,NaN,0,0,0.04,0.04,1.79,2.84,33.71,0.72,54.55,0,71.78,33.06,13.37,8.83,1,0.33,1,0,7,0,7,0,0.02,-200,-4,2,0,0,12,1,0,0,12,0,7.28,0,66.3,NaN,0,0,1,3.28,0,26.77,2932,785,-120.37,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_ALACHUA,1437648,3,5918,0.05,3.53,129,5826,2.21,180597.71,9955.97,255,99.13,5.49,54,40.19,91.23,1.64,156.02,25.61,8269601,234216686,1444781.67,9260.47,5918,5915,50,91.21,2.21,176895.31,152028.44,9961.94,143.47,0.87,0,103894.27,4614.06,2.94,3.06,54.87,2.59,0.12,0.06,48132.89,3128.56,10.68,0.88,89,11.12,21,11,1270,0,1279,58.73,46.32,0,0,13,0,0,20,2,0,0,20,0,0.87,1.95,55.27,8.94,0,0,2,1.31,0,36.5,38199,13941,-115.16,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_ALLEY_KATZ,1437657,7,8531,0.08,1.99,209,8465,2.47,199497.75,13943.95,334,97.88,32.79,62.76,55.12,47.61,1.28,167.56,41.14,10855307,545378299,1595982.02,9524.8,8531,8524,100,47.64,2.51,198012.23,175191.08,13933.73,84.98,1.18,0,122449.41,3939.66,42.02,1.36,19.26,3.11,0.21,0.14,52694.08,4636.05,25.05,0.82,138,23,48,23,1954,0,1944,61.84,28.27,-44.44,-8,18,0,0,46,3,0,0,46,4.17,279.77,0.05,128.27,1.34,0,0,3,4.04,0,39.19,62708,24577,-114.33,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_ALLTEL_CORNER_DELI,1437285,5,8646,0.06,6.03,178,8376,2.13,201230.92,12297.61,333,98.41,7.54,82.15,64.22,83.19,1.6,145.06,27.72,27936557,463555290,1609847.36,11097.67,8646,8641,100,83.23,2.13,198517.3,174733,12321.64,90,0.43,0,130589.96,4864.01,6.77,2.45,61.62,3.07,0.31,0.09,44134.33,4270.77,10.9,0.98,179,29.83,34,13,3007,0,3086,65.78,39.48,0,0,18,0,0,23,1,0,0,23,0,2.37,0.03,89.13,4.4,0,0,1,2.07,0,32.16,50413,16213,-112.6,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_ALLTEL_LAKEWOOD,1437078,1,4986,0.02,0.35,114,4971,2.29,159181.17,11499.3,202,98.11,5.01,24.44,38.9,109.86,3.19,116.6,24.89,412611,118572066,1273449.4,10921.89,4986,4985,100,109.91,2.46,157310.3,134889.57,11491.36,134.35,0.42,0.07,108075.62,5862.21,2.99,5.54,73.81,3.71,6.06,0,26809.87,1850.71,13.84,1.15,107,11.89,32,6,1439,1,1424,68.7,51.01,-60,-3,5,0,0,11,1,0,0,11,0,11.15,0,192.61,NaN,0,0,1,13.22,0,28.38,23703,6727,-114.31,0
