DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
09/04/2025,17,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0001,1,1916,0.05,0.35,88,1807,4.87,88666.13,2062.81,70,98.6,9.4,73.08,53.27,101.34,1.1,231.18,15.68,92441,26682216,709329.04,3068.26,1916,1915,100,101.3,4.87,86774,84482.83,2064.87,146.22,2.8,0,73778.62,1023.6,7.61,2.12,35.38,5.83,3.49,0.08,10704.21,637.58,18.61,0.71,29,14.5,17,16,571,0,619,85.02,49.57,0,0,5,0,0,16,1,0,0,16,6.25,0.6,0.02,48.43,0.32,0,0,1,2.19,NaN,-112.13,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0002,3,2796,0.11,0.22,243,2813,8.64,24857.67,2232.69,88,97.91,10.52,66.11,43.74,84.62,1.25,78.94,18.76,82737,38064744,198861.4,2519.26,2796,2793,100,84.69,8.64,21574.98,18781.44,2234.76,62.42,12.17,0,377.96,412.92,3.77,17.67,81.29,8.08,2.5,0.12,18403.48,1246.3,11.24,0.9,10,5,5,41,337,0,348,1.75,18.48,0,0,12,0,0,17,2,0,0,17,0,10.65,0.07,207.14,25.12,0,0,2,15.17,0,-114.2,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0003,1,2168,0.05,0.09,73,2127,3.43,20330.62,1891.12,71,98.16,7.71,62.46,40.96,93.63,1.91,68.94,16.82,18181,20624184,162644.96,2359.15,2168,2167,100,93.62,3.43,21854.68,18053.27,1895.03,103.41,7.65,0,5531.72,195,4.56,2.79,83.03,2.67,2.43,0.05,12521,1208.46,9.43,1.59,15,7.5,8,25,327,0,314,25.31,10.29,0,0,7,0,0,21,2,0,0,21,0,4.38,0.82,59.22,0.23,0,0,2,2.84,NaN,-114.44,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0001,0,82,0,0.11,1,79,1.27,842.2,234.75,4,98.91,20.96,11.69,13.24,31.44,3.5,14.14,4.46,164,148502,6737.64,476.65,82,82,50,32.08,1.92,1074.3,130.21,231.18,4.5,0,0,0.24,0.31,1.52,2.13,19.99,2.22,3.08,0,129.97,14.66,8.1,0.89,2,2,2,0,7,0,6,0.02,0.14,0,0,3,0,0,8,1,0,0,8,0,1.54,0,51.77,NaN,0,0,1,2.69,0,-118.92,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0002,0,39,0,0.05,0,41,0,918.11,416.43,2,96.84,15.75,18.53,17.41,40.18,4.92,11.72,4.99,39,73554,7344.89,626.61,39,39,50,40.52,0,1535.47,5.85,414.11,NaN,NaN,NaN,0,0,NaN,NaN,10.08,0,0,0,5.85,1.02,17.49,0.38,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,1,0,0,12,0,11.36,0,32.25,NaN,0,0,1,2.05,0,-119.26,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0003,0,18,0,0.14,0,13,0,207.02,42.7,1,97.59,12.64,3.52,4.42,32.3,2.85,10.41,2.69,18,12654,1656.16,159.07,18,18,50,32.98,0,302.55,46.67,40.62,NaN,NaN,NaN,0,0,NaN,NaN,23.84,0,14.29,0,46.67,3.67,8.61,1.39,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,5,0,1.23,0,17.34,NaN,0,0,1,2.91,NaN,-118.06,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,4,1301,0.31,5.82,14,1258,1.11,19277.76,1167.32,47,99.07,10.64,20.73,26.05,60.34,2.78,63.25,8.94,768189,13196043,154222.04,2438.4,1301,1297,100,60.47,1.11,18773.91,16084.92,1166.77,127.82,3.19,0,9287.96,356.19,2.75,5.65,37.14,0.95,0.55,0.33,6796.74,568.29,16.76,2.28,17,5.67,8,3,94,0,90,49.47,30.53,0,0,2,0,0,3,1,0,0,3,0,0.07,0,25.17,NaN,0,0,1,4.03,NaN,-114.04,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0002,0,1604,0,2.79,41,1380,2.97,13216.12,1206.9,45,98.85,8,25.23,27.13,40.19,5.64,41.64,7.59,631976,22677352,105728.98,2539.09,1604,1604,100,40.46,2.97,12828.66,9203.7,1210.03,87.31,3.28,0,2522.76,367.2,1.6,9.53,40.15,2.96,0.71,0,6670.43,587.51,10.47,4.18,10,3.33,5,2,61,0,66,19.67,30.35,0,0,2,0,0,15,2,0,0,15,0,6.34,0,28.13,NaN,0,0,2,2.26,0,-115.19,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0003,0,2591,0,3.18,54,2484,2.17,57905.86,2950.79,93,98.83,4.9,32.57,50.47,80.29,1.86,98.07,14.38,1961387,61715029,463246.9,4723.86,2591,2591,100,80.53,2.17,56733.48,54131.36,2950.58,135.63,0,0,39315.81,983.82,2.05,3.31,51.63,2.45,0,0,14814.73,1485.03,9.93,1.52,37,12.33,19,0,283,0,359,69.3,33.34,0,0,6,0,0,18,1,0,0,18,0,4.48,0.04,10.39,1.93,0,0,1,1.34,0,-116.25,0
09/04/2025,17,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1439028,0001,0001,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
