DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,PORTTYPE,PORTID,InErrors_VM_AUPF,InOctets_VM_AUPF,InPkts_VM_AUPF,InThruPeakCnt_VM_AUPF,InThruPeak_VM_AUPF,OutErrors_VM_AUPF,OutOctets_VM_AUPF,OutPkts_VM_AUPF,OutThruPeakCnt_VM_AUPF,OutThruPeak_VM_AUPF
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UIC,0,EXTERNAL_TYPE,0,0,4,41601,358,0.05,0,4,34785,358,0.04
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UIC,0,EXTERNAL_TYPE,1,0,0,8,358,0,0,0,0,358,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UIC,0,INTERNAL_TYPE,0,0,27,122326,358,0.27,0,16,100597,358,0.21
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UIC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UMC,0,INTERNAL_TYPE,0,0,156,1067178,357,2.78,0,156,1124788,357,2.7
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UMC,0,INTERNAL_TYPE,1,0,0,0,357,0,0,0,0,357,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UMC,0,MANAGEMENT_TYPE,0,0,4,51545,357,0.06,0,8,23888,357,1.23
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UPC,0,EXTERNAL_TYPE,0,0,3669,5637046,358,113.87,0,3506,3446795,358,112.47
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UPC,0,EXTERNAL_TYPE,1,0,1759,3613439,358,124.29,0,1604,1654404,358,123.46
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UPC,0,INTERNAL_TYPE,0,0,12,92601,358,0.52,0,24,103768,358,1.17
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UPC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UPC,1,EXTERNAL_TYPE,0,0,1935,3835378,358,164.28,0,1782,1838407,358,162.8
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UPC,1,EXTERNAL_TYPE,1,0,3375,5256407,358,488.92,0,3222,3152306,358,493.87
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UPC,1,INTERNAL_TYPE,0,0,12,90737,358,0.43,0,24,100598,358,1.11
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980502,UPC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UIC,1,EXTERNAL_TYPE,0,0,0,17445,358,0.03,0,0,12598,358,0.02
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UIC,1,EXTERNAL_TYPE,1,0,0,2504,358,0.01,0,0,0,358,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UIC,1,INTERNAL_TYPE,0,0,24,106207,358,0.29,0,14,87593,358,0.27
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UIC,1,INTERNAL_TYPE,1,0,0,2495,358,0.01,0,0,0,358,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UMC,0,INTERNAL_TYPE,0,0,152,1066341,357,2.72,0,152,1093607,357,2.67
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UMC,0,INTERNAL_TYPE,1,0,0,2738,357,0.01,0,0,0,357,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UMC,0,MANAGEMENT_TYPE,0,0,4,54856,357,0.04,0,4,22363,357,0.59
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UPC,0,EXTERNAL_TYPE,0,0,1229,2742828,358,108.28,0,1093,1030344,358,108.86
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UPC,0,EXTERNAL_TYPE,1,0,5085,5970365,358,189.35,0,4968,4042591,358,190.85
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UPC,0,INTERNAL_TYPE,0,0,12,89048,358,0.43,0,20,93160,358,0.62
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UPC,0,INTERNAL_TYPE,1,0,0,2459,358,0.01,0,0,0,358,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UPC,1,EXTERNAL_TYPE,0,0,2727,4219033,358,175.39,0,2580,2300539,358,176.01
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UPC,1,EXTERNAL_TYPE,1,0,1138,2536670,358,55.35,0,1005,875289,358,55.03
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UPC,1,INTERNAL_TYPE,0,0,12,88173,358,0.44,0,20,91274,358,0.64
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,MWTP,0980525,UPC,1,INTERNAL_TYPE,1,0,0,2756,358,0.02,0,0,0,358,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,NWCS,0989516,UIC,0,EXTERNAL_TYPE,0,0,0,8641,716,0.01,0,0,3585,716,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,NWCS,0989516,UIC,0,EXTERNAL_TYPE,1,0,0,5122,716,0.01,0,0,0,716,0
09/14/2025,05,5GNR,Philadelphia Tri-State,098,Philadelphia - Philadelphia,NWCS,0989516,UIC,0,INTERNAL_TYPE,0,0,48,190985,716,0.4,0,24,159658,716,0.35
