DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
09/02/2025,03,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,4.65,3.11,2.4,2.44,2.37,36.94,37.15,36.72,26594.53,1731,2731.99,0,0,0.48,0.88
09/02/2025,03,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,4.3,1.17,1.25,1.26,1.25,11.47,11.52,11.45,4130.35,451.67,714.62,0,0,4.25,6.1
09/02/2025,03,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,4.06,1.06,1.25,1.25,1.25,11.33,11.36,11.32,4080.6,449.85,553.7,0,0,1.86,2.47
09/02/2025,03,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.41,0.55,9.91,9.92,9.91,76.53,76.61,76.46,55097.16,7138.44,610.88,0,0,2.44,0.6
09/02/2025,03,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CPC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.32,0.58,9.86,9.86,9.86,76.52,76.54,76.5,55095.75,7098.53,552.98,0,0,2.41,0.56
09/02/2025,03,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,7.2,6.44,2.51,2.51,2.5,41.21,41.24,41.19,14835.88,902.8,2446.37,0,0,1.39,2.25
09/02/2025,03,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,4.83,2.46,0.62,0.62,0.62,7.3,7.32,7.29,2629.97,223.84,1098.33,0,0,10.23,27.02
09/02/2025,03,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,1.36,0.67,12.55,12.55,12.54,82.88,82.89,82.86,29835.02,4516.97,299.92,0,0,17.32,12.38
09/02/2025,03,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,7.37,6.16,2.49,2.49,2.48,41.56,41.59,41.53,14961.19,895.73,2411.66,0,0,1.34,1.22
09/02/2025,03,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,15.01,2.08,0.62,0.62,0.62,7.05,7.09,7.02,2540.03,223.48,876.54,0,0,15.8,25.82
