DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,0.11,16.48,256691.4,64592.28,306,77,115843,10082,1.37,720,4.75,0,984.74,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,0,3.22,529321.16,40265.32,631,48,91335,8626,0.9,720,2.75,0,647.26,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,0.01,0.11,81369.5,55364.81,97,66,8084,1814,0.1,720,5,0,71.13,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,0.02,889.6,1945318.2,227331.28,2319,271,5007581,468352,25.52,3600,59.88,0,91888.14,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,0.02,588.77,2165099.72,216426.09,2581,258,3875549,362224,18.15,2160,46.88,0,39207.52,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0709006,0.01,1.53,39426.46,14260.63,47,17,1938,339,0,1440,0.25,0,0.75,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,BUFF100_HNRT,0700100,0.01,0.01,7549.75,3355.44,9,4,432,175,0,0,0,0,0,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0700011,0.01,0.03,15938.36,838.86,19,1,812,57,0,0,0,0,0,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0700012,0,2.47,61236.84,65431.14,73,78,6170,900,0,0,0,0,0,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0700022,0.01,3.27,603979.78,54525.95,720,65,29520,2565,0,0,0,0,0,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0700024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0700025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0709002,0.02,1404.37,1681077.04,175321.91,2004,209,4712226,437908,0,0,0,0,0,0.01
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0709004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0709007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0709089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/02/2025,13,5GNR,Upstate New York,070,Buffalo,HNRT,0709099,0.01,14.85,270113.18,15938.36,322,19,46798,3544,0,0,0,0,0,0
Total,*,*,*,*,*,*,*,0.01,2924.71,2165099.72,227331.28,2581,271,13896288,1296586,7.67,9360,59.88,0,132799.54,0
