Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'Ericsson5GCarrier.pmEndcSetupUeAtt','Ericsson5GCarrier.EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps','Ericsson5GCarrier.EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB','Ericsson5GCarrier.EBSN_ENDC_Peak_UE_FWA_Spid125','Ericsson5GCarrier.EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_pct_of_Total','Ericsson5GCarrier.5GNR_ENDC_Drop_pct','Ericsson5GCarrier.5GNR_ENDC_Drop_Num','Ericsson5GCarrier.5GNR_ENDC_Drop_Den','Ericsson5GCarrier.5GNR_Cell_Availability_pct','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct_Num','Ericsson5GCarrier.5GNR_RACH_Msg3_Failure_pct_Den','Ericsson5GCarrier.5GNR_DL_MAC_Volume_MB'
143,Florida,VCP Far Edge,NR,,,1439221_0001_0001_04,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1439221_0001_0001_08,2025-09-27T06:00:00-04:00,3600,3,NaN,0,0,0,0,0,4,100,17.06,79,463,140.28
143,Florida,VCP Far Edge,NR,,,1439221_0001_0002_04,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1439221_0001_0002_08,2025-09-27T06:00:00-04:00,3600,3,NaN,0,0,0,0,0,5,100,14.43,153,1060,311.53
143,Florida,VCP Far Edge,NR,,,1439221_0001_0003_04,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1439221_0001_0003_08,2025-09-27T06:00:00-04:00,3600,4,NaN,0,0,0,0,0,2,100,18.24,54,296,214.94
143,Florida,VCP Far Edge,NR,,,1437028_0001_0001_08,2025-09-27T06:00:00-04:00,3600,136,NaN,0,0,0,2.21,3,136,100,38.25,454,1187,423.61
143,Florida,VCP Far Edge,NR,,,1437028_0001_0001_10,2025-09-27T06:00:00-04:00,3600,277,416.45,2507.36,6,41.34,2.03,6,295,100,60.68,1489,2454,6505.02
143,Florida,VCP Far Edge,NR,,,1437028_0001_0001_11,2025-09-27T06:00:00-04:00,3600,52,203.38,33.23,3,23.11,5.13,2,39,100,61.28,182,297,184.76
143,Florida,VCP Far Edge,NR,,,1437028_0001_0002_08,2025-09-27T06:00:00-04:00,3600,275,121.97,1404.27,3,43.35,0.81,2,247,100,33.91,842,2483,2320.8
143,Florida,VCP Far Edge,NR,,,1437028_0001_0002_10,2025-09-27T06:00:00-04:00,3600,253,120.66,751.43,6,28.92,3.11,9,289,100,54.01,1591,2946,3647.34
143,Florida,VCP Far Edge,NR,,,1437028_0001_0002_11,2025-09-27T06:00:00-04:00,3600,36,188.08,1398.45,2,95.03,0,0,22,100,66.16,217,328,1574.27
143,Florida,VCP Far Edge,NR,,,1437028_0001_0003_08,2025-09-27T06:00:00-04:00,3600,113,NaN,0,0,0,0,0,97,100,40.73,887,2178,569.54
143,Florida,VCP Far Edge,NR,,,1437028_0001_0003_10,2025-09-27T06:00:00-04:00,3600,585,59.27,6708.67,15,63.22,2.68,15,560,100,53.8,2585,4805,11376.21
143,Florida,VCP Far Edge,NR,,,1437028_0001_0003_11,2025-09-27T06:00:00-04:00,3600,183,114.07,7547.23,8,96.1,1.23,2,162,100,53.98,448,830,7992.06
143,Florida,VCP Far Edge,NR,,,1439028_0001_0001_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1439028_0001_0002_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1439028_0001_0003_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437396_0001_0001_10,2025-09-27T06:00:00-04:00,3600,488,129.31,1688.16,10,11.53,1.02,5,488,100,41.2,2343,5687,13795.18
143,Florida,VCP Far Edge,NR,,,1437396_0001_0001_11,2025-09-27T06:00:00-04:00,3600,286,272.04,669.12,7,30.3,0.85,2,236,100,46.11,598,1297,3262.17
143,Florida,VCP Far Edge,NR,,,1437396_0001_0002_10,2025-09-27T06:00:00-04:00,3600,560,243.11,10849.94,12,65.24,1.58,8,506,100,50.97,2028,3979,14675.9
143,Florida,VCP Far Edge,NR,,,1437396_0001_0002_11,2025-09-27T06:00:00-04:00,3600,201,665.07,269.45,4,49,0.53,1,190,100,48.67,367,754,2474.32
143,Florida,VCP Far Edge,NR,,,1437396_0001_0003_10,2025-09-27T06:00:00-04:00,3600,530,472.23,816.65,8,8.53,2.02,11,544,100,32.19,807,2507,9356.4
143,Florida,VCP Far Edge,NR,,,1437396_0001_0003_11,2025-09-27T06:00:00-04:00,3600,287,316.13,359.02,6,67.41,0,0,290,100,25.93,119,459,1042.25
143,Florida,VCP Far Edge,NR,,,1439396_0001_0001_08,2025-09-27T06:00:00-04:00,3600,3,NaN,0,0,0,0,0,3,100,19.21,58,302,284.27
143,Florida,VCP Far Edge,NR,,,1439396_0001_0002_08,2025-09-27T06:00:00-04:00,3600,8,1.06,0.01,1,0.03,0,0,8,100,39.63,256,646,106.06
143,Florida,VCP Far Edge,NR,,,1439396_0001_0003_08,2025-09-27T06:00:00-04:00,3600,16,NaN,0,0,0,0,0,16,100,16.41,53,323,167.48
143,Florida,VCP Far Edge,NR,,,1437648_0001_0001_04,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437648_0001_0001_08,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437648_0001_0001_10,2025-09-27T06:00:00-04:00,3600,151,5.24,2.05,4,0.19,1.26,2,159,100,51.22,336,656,1181.87
143,Florida,VCP Far Edge,NR,,,1437648_0001_0001_11,2025-09-27T06:00:00-04:00,3600,88,41.81,322.51,7,73.32,0,0,96,100,23.48,31,132,352.43
143,Florida,VCP Far Edge,NR,,,1437648_0001_0002_04,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437648_0001_0002_08,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437648_0001_0002_10,2025-09-27T06:00:00-04:00,3600,394,146.37,74.35,4,4.85,0.51,2,389,100,30.05,223,742,3711.38
143,Florida,VCP Far Edge,NR,,,1437648_0001_0002_11,2025-09-27T06:00:00-04:00,3600,77,102.17,2735.87,5,97.65,0,0,78,100,38.57,54,140,831.92
143,Florida,VCP Far Edge,NR,,,1437648_0001_0003_04,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437648_0001_0003_08,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437648_0001_0003_10,2025-09-27T06:00:00-04:00,3600,576,322.36,4194.31,12,49.08,2.53,15,594,100,43.91,2244,5110,8632.72
143,Florida,VCP Far Edge,NR,,,1437648_0001_0003_11,2025-09-27T06:00:00-04:00,3600,222,162.37,39.14,8,3.23,1.18,2,169,100,42.98,398,926,1393.01
143,Florida,VCP Far Edge,NR,,,1437648_0001_0004_04,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437648_0001_0004_08,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437648_0001_0004_10,2025-09-27T06:00:00-04:00,3600,519,83.62,13324.78,19,57.21,5.75,32,557,100,35.35,864,2444,26852.79
143,Florida,VCP Far Edge,NR,,,1437648_0001_0004_11,2025-09-27T06:00:00-04:00,3600,589,86.43,10152.16,22,91.62,0.35,2,579,100,13.57,111,818,7605.64
143,Florida,VCP Far Edge,NR,,,1437657_0001_0001_10,2025-09-27T06:00:00-04:00,3600,1346,71.41,7230.37,28,43.26,2.08,27,1296,100,32.66,2649,8110,24398.94
143,Florida,VCP Far Edge,NR,,,1437657_0001_0001_11,2025-09-27T06:00:00-04:00,3600,673,150.01,3982.22,21,64.58,0.6,4,667,100,30.78,563,1829,7433.69
143,Florida,VCP Far Edge,NR,,,1437657_0001_0002_10,2025-09-27T06:00:00-04:00,3600,1804,156.03,9174.05,36,49.04,2.89,54,1869,100,41.81,3854,9218,26383.87
143,Florida,VCP Far Edge,NR,,,1437657_0001_0002_11,2025-09-27T06:00:00-04:00,3600,718,97,2969.17,22,67.05,1.03,7,680,100,40.47,730,1804,5431.57
143,Florida,VCP Far Edge,NR,,,1437657_0001_0003_10,2025-09-27T06:00:00-04:00,3600,41,109.95,2.27,1,0.49,0,0,48,100,52.32,722,1380,558.6
143,Florida,VCP Far Edge,NR,,,1437657_0001_0003_11,2025-09-27T06:00:00-04:00,3600,13,NaN,0,0,0,0,0,18,100,58.96,102,173,89.04
143,Florida,VCP Far Edge,NR,,,1437285_0001_0001_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437285_0001_0001_08,2025-09-27T06:00:00-04:00,3600,8,NaN,0,0,0,0,0,7,100,41.22,223,541,214.28
143,Florida,VCP Far Edge,NR,,,1437285_0001_0001_10,2025-09-27T06:00:00-04:00,3600,850,149.81,16317.85,33,64.33,0.91,8,875,100,35.2,1674,4756,41342.65
143,Florida,VCP Far Edge,NR,,,1437285_0001_0001_11,2025-09-27T06:00:00-04:00,3600,600,88.8,20083.24,23,95.54,0.17,1,602,100,27.67,293,1059,18189.33
143,Florida,VCP Far Edge,NR,,,1437285_0001_0002_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437285_0001_0002_08,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,0,NaN,0,0,100,19.66,92,468,1871.83
143,Florida,VCP Far Edge,NR,,,1437285_0001_0002_10,2025-09-27T06:00:00-04:00,3600,986,241.84,10125.95,28,72.98,0.8,8,994,100,23.4,820,3505,23091.01
143,Florida,VCP Far Edge,NR,,,1437285_0001_0002_11,2025-09-27T06:00:00-04:00,3600,303,91.84,9976.09,15,95.84,0.33,1,305,100,22.59,129,571,14359.79
143,Florida,VCP Far Edge,NR,,,1437285_0001_0003_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437285_0001_0003_08,2025-09-27T06:00:00-04:00,3600,17,NaN,0,0,0,0,0,18,100,31.25,70,224,56.02
143,Florida,VCP Far Edge,NR,,,1437285_0001_0003_10,2025-09-27T06:00:00-04:00,3600,751,341.08,2651.03,25,33.61,0.69,5,726,100,46.34,1724,3720,10533
143,Florida,VCP Far Edge,NR,,,1437285_0001_0003_11,2025-09-27T06:00:00-04:00,3600,331,99.28,1490.85,14,94.58,0,0,303,100,33.54,216,644,1789.04
143,Florida,VCP Far Edge,NR,,,1437078_0001_0001_08,2025-09-27T06:00:00-04:00,3600,52,NaN,0,0,0,0,0,54,100,26.28,170,647,162.28
143,Florida,VCP Far Edge,NR,,,1437078_0001_0001_10,2025-09-27T06:00:00-04:00,3600,469,134.54,3877.69,19,35.15,1.3,6,463,100,9.59,204,2128,11915.03
143,Florida,VCP Far Edge,NR,,,1437078_0001_0001_11,2025-09-27T06:00:00-04:00,3600,580,223.55,3064.09,17,98.01,0,0,576,100,15.52,117,754,2565.97
143,Florida,VCP Far Edge,NR,,,1437078_0001_0002_08,2025-09-27T06:00:00-04:00,3600,3,NaN,0,0,0,0,0,5,100,38,133,350,243.65
143,Florida,VCP Far Edge,NR,,,1437078_0001_0002_10,2025-09-27T06:00:00-04:00,3600,459,341.58,136.64,11,1.01,0.86,4,465,100,31.16,1004,3222,14048.41
143,Florida,VCP Far Edge,NR,,,1437078_0001_0002_11,2025-09-27T06:00:00-04:00,3600,351,179.05,2486.79,12,97.81,0,0,351,100,12.67,55,434,2646
143,Florida,VCP Far Edge,NR,,,1437078_0001_0003_08,2025-09-27T06:00:00-04:00,3600,43,NaN,0,0,0,0,0,43,100,9.24,63,682,230.37
143,Florida,VCP Far Edge,NR,,,1437078_0001_0003_10,2025-09-27T06:00:00-04:00,3600,217,209.58,3641.28,9,47.37,6.45,14,217,100,34.18,392,1147,7723.56
143,Florida,VCP Far Edge,NR,,,1437078_0001_0003_11,2025-09-27T06:00:00-04:00,3600,212,151.65,937.47,8,94.45,0.49,1,205,100,22.26,71,319,1101.83
143,Florida,VCP Far Edge,NR,,,1439078_0001_0001_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1439078_0001_0002_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1439078_0001_0003_01,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
143,Florida,VCP Far Edge,NR,,,1437803_0001_0001_10,2025-09-27T06:00:00-04:00,3600,221,201.1,4132.51,9,75.78,0.4,1,250,100,45.99,453,985,5532.82
143,Florida,VCP Far Edge,NR,,,1437803_0001_0001_11,2025-09-27T06:00:00-04:00,3600,49,291.37,29.03,2,68.66,0,0,48,100,54.78,63,115,169.48
143,Florida,VCP Far Edge,NR,,,1437803_0001_0002_10,2025-09-27T06:00:00-04:00,3600,23,NaN,0,0,0,0,0,21,100,43.52,94,216,17.5
143,Florida,VCP Far Edge,NR,,,1437803_0001_0002_11,2025-09-27T06:00:00-04:00,3600,0,NaN,0,0,NaN,NaN,0,0,100,100,30,30,0.85
