Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'Carrier5G.S5NC_DRBSetupFail_pct_SA_SNSSAI6','Carrier5G.S5NC_DRBSetupFail_pct_den_SA_SNSSAI6','Carrier5G.S5NC_DRBSetupFail_num_SA_SNSSAI6','Carrier5G.S5NC_PDUSetupFail_pct_SA_SNSSAI6','Carrier5G.S5NC_PDUSetupFail_pct_den_SA_SNSSAI6','Carrier5G.S5NC_PDUSetupFail_pct_num_SA_SNSSAI6','Carrier5G.S5ND_AvgAirIfDelay_DL_SA_us_5QI133_SNSSAI6','Carrier5G.S5ND_AvgIPLatency_DL_us_5QI133_SNSSAI6','Carrier5G.S5ND_AvgRLCDelay_DL_SA_us_5QI133_SNSSAI6','Carrier5G.S5ND_AvgRLCDelay_UL_SA_us_5QI133_SNSSAI6','Carrier5G.S5ND_AvgUEThpt_SA_Mbps_5QI133_RFSP95_SNSSAI6','Carrier5G.S5ND_DLActiveUE_Avg_SNSSAI6','Carrier5G.S5ND_DLRLC_SDU_Drop_pmm_pct_5QI133_SNSSAI6','Carrier5G.S5NR_DLPRBUtilization_pct_SNSSAI6','Carrier5G.S5NU_AvgPDCPDelay_DL_us_Cell_SNSSAI','Carrier5G.S5NU_AvgPDCPDelay_DL_us_Cell_5QI133_SNSSAI6','Carrier5G.S5NU_AvgPDCPDelay_UL_us_Cell_SNSSAI','Carrier5G.S5NU_AvgPDCPDelay_UL_us_Cell_5QI133_SNSSAI6','Carrier5G.S5NU_DLPDCP_SDU_DataVolume_MB_5QI133_SNSSAI6','Carrier5G.S5NU_DLPDCP_SDU_Drop_pmm_pct_5QI133_SNSSAI6','Carrier5G.S5NU_DLPDCP_SDU_Loss_pmm_pct_5QI133_SNSSAI6','Carrier5G.S5NU_ULPDCP_SDU_DataVolume_MB_5QI133_SNSSAI6','Carrier5G.S5NU_ULPDCP_SDU_Loss_pmm_pct_5QI133_SNSSAI6','Carrier5G.RLCDLPKTDISCARDCNTPDCP_5QI133','Carrier5G.RLCDLPKTDROPCNTFULLBUF_5QI133','Carrier5G.RLCDLPKTRECEIVECNT_5QI133','Carrier5G.ErabAddAtt_per_GNB','Carrier5G.RssiPathAvg_Path0','Carrier5G.RssiPathAvg_Path1','Carrier5G.RssiPathAvg_Path2','Carrier5G.RssiPathAvg_Path3','Carrier5G.RssiPathAvg','Carrier5G.S5NR_DLPRBUtilization_pct','Carrier5G.S5NR_ULPRBUtilization_pct','Carrier5G.5GNR_ENDC_Drop_pct','Carrier5G.5GNR_ENDC_Drop_pct_num','Carrier5G.5GNR_ENDC_Drop_pct_den','Carrier5G.S5NR_PDCCH_Blocking_Tot_pct','Carrier5G.S5NR_Cell_Availability_pct','Carrier5G.S5NC_MaxUENo_SPID125','Carrier5G.S5ND_TotalMACDataVolumeDL_MB_SPID125','Carrier5G.S5ND_DLUeThru_Mbps_SPID125','Carrier5G.S5NC_ERAB_Drop_Rate_FWA_pct_num','Carrier5G.S5NC_ERAB_Drop_Rate_FWA_pct','Carrier5G.S5NC_ERABSetupFailureRate_pct_QCI132','Carrier5G.S5NR_MaxRRCconnectedUsersPerDU','Carrier5G.S5NR_TotalDLRLCLayerDataVolume_MB','Carrier5G.S5NR_DLUserPerceivedTput_Mbps','Carrier5G.S5NR_TotalERABSetupFailureRate_pct','Carrier5G.S5NR_TotalERABSetupFailureRate_pct_num','Carrier5G.S5NR_TotalERABSetupFailureRate_pct_den','Carrier5G.S5NC_DRBDrop_pct_SA','Carrier5G.S5NC_DRBDrop_num_SA','Carrier5G.S5NC_DRBDrop_den_SA','Carrier5G.S5NC_DRBSetupFail_pct_SA','Carrier5G.S5NC_DRBSetupFail_num_SA','Carrier5G.S5NC_DRBSetupFail_den_SA','Carrier5G.S5NR_IntragNBHOFailRate_pct','Carrier5G.S5NR_IntragNBHOFailRate_den','Carrier5G.S5NR_IntragNBHOFailRate_num','Carrier5G.S5NR_IntergNBHOFailRate_pct','Carrier5G.S5NR_IntergNBHOFailRate_den','Carrier5G.S5NR_IntergNBHOFailRate_num','Carrier5G.S5NR_AvgRRCconnectedUsersPerDU_PerCell','Carrier5G.S5NR_DLMACLayerDataVolume_MB','Carrier5G.S5NR_PUCCHAvgSINR_dB','Carrier5G.S5NR_PUSCHAvgSINR_dB','Carrier5G.S5NR_TotalULRLCLayerDataVolume_MB','Carrier5G.S5NR_ULMACLayerDataVolume_MB','Carrier5G.S5NR_ULUserPerceivedTput_Mbps'
070,Upstate New York,VCP Far Edge,NR,,,07000020080-80-1,2025-09-27T19:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,16,-116.1,-115.16,-115.35,-114.96,-115.39,0.3,0.03,11.76,2,17,0,100,1,0,NaN,1,100,0,,9.17,18.27,0,0,16,NaN,0,0,NaN,0,0,0,2,0,NaN,0,0,0.06,75.08,16.78,12.18,0.9,3.66,5.03
070,Upstate New York,VCP Far Edge,NR,,,07000020080-80-2,2025-09-27T19:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-116.34,-115.36,-115.76,-115.22,-115.67,0.02,0,0,0,2,0,100,0,0,NaN,0,NaN,NaN,,0.01,20.97,0,0,2,NaN,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.01,4.67,14.44,6.47,0,0.01,0.7
070,Upstate New York,VCP Far Edge,NR,,,07000020081-81-1,2025-09-27T19:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,27,-115.47,-114.06,-115.18,-115.63,-115.09,0.45,0.41,10.71,3,28,0.01,100,0,0,NaN,0,NaN,NaN,,115.93,83.73,0,0,27,NaN,0,0,NaN,0,0,0,3,0,NaN,0,0,0.22,201.5,16.75,11.32,37.71,58.9,4.82
070,Upstate New York,VCP Far Edge,NR,,,07000020081-81-2,2025-09-27T19:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-115.69,-114.63,-115.52,-115.82,-115.41,0.03,0,0,0,2,0,100,0,0,NaN,0,NaN,NaN,,0.33,80.43,0,0,2,NaN,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0,2.78,16.76,9.61,0.3,0.34,4.65
070,Upstate New York,VCP Far Edge,NR,,,07000020082-82-1,2025-09-27T19:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-115.36,-115.45,-114.15,-115.15,-115.03,0.03,0.01,16.67,1,6,0,100,0,0,NaN,0,NaN,NaN,,11.45,110.05,0,0,5,NaN,0,0,NaN,0,0,0,1,0,NaN,0,0,0.03,14.12,16.93,11.95,0.36,1.01,2.35
070,Upstate New York,VCP Far Edge,NR,,,07000020095-95-1,2025-09-27T19:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-113.32,-115.03,-115.22,-115.05,-114.66,1.65,0.1,0,0,1,0.11,100,1,956.11,317.12,0,0,0,,361.13,317.12,0,0,6,NaN,0,0,NaN,0,0,NaN,0,0,NaN,0,0,1,984.65,18.36,21.28,11.53,34.39,36.18
070,Upstate New York,VCP Far Edge,NR,,,07000020095-95-2,2025-09-27T19:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-116.47,-115.33,-115.83,-115.72,-115.84,4.15,0.24,11.11,1,9,0,100,1,1224.27,104.15,1,16.67,0,,1890.56,104.14,0,0,11,NaN,0,0,NaN,0,0,0,2,0,NaN,0,0,0.98,1230.81,16.53,11.74,18.56,37.1,4.07
070,Upstate New York,VCP Far Edge,NR,,,07000020095-95-3,2025-09-27T19:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,34,-115.48,-115.61,-115.7,-116.2,-115.75,1.19,0.12,8.11,3,37,0.03,100,0,307.49,NaN,0,NaN,NaN,,24.92,94.74,0,0,34,NaN,0,0,NaN,0,0,0,4,0,NaN,0,0,0.2,343.4,16.89,14.39,31.56,35.62,47.63
070,Upstate New York,VCP Far Edge,NR,,,07000020095-95-4,2025-09-27T19:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-113.38,-115.81,-115.51,-115.99,-115.17,0.97,0.02,14.29,1,7,0.06,100,0,241.16,NaN,0,NaN,NaN,,6.38,46.49,0,0,7,NaN,0,0,NaN,0,0,0,3,0,NaN,0,0,0.01,255.45,16.1,14.83,0.43,2.78,5.21
070,Upstate New York,VCP Far Edge,NR,,,07000020096-96-1,2025-09-27T19:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-111.55,-114.18,-111.06,-112.98,-112.44,4.51,0.59,NaN,0,0,0.02,100,1,10517.02,301.77,0,NaN,NaN,,5822.99,301.77,0,0,4,NaN,0,0,NaN,0,0,NaN,0,0,NaN,0,0,1,10545.8,16.98,20.71,60.38,328.9,96.49
