Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'sector.DL_GTP_Data_Volume_RN_MB','sector.ENDC.Sessions.RN','sector.Intra.CU.HO.Attempts.number','sector.Max.ENDC.Sessions.RN.number','sector.Intra_CU_HO_Attempts_RN','sector.Intra_CU_HO_Success_RN','sector.Intra_CU_HO_Success_Rate_RN_pct','sector.SgNB_Modification_Attempts_RN','sector.SgNB_Modification_Success_RN','sector.SgNB_Modification_Success_Rate_RN_pct','sector.UL_GTP_Data_Volume_RN_MB','sector.Attach_Success_rate_pct_RN','sector.Attach_Success_RN_Num','sector.Attach_Success_RN_Den','sector.Drop_rate_pct_RN','sector.Drop_RN_Num','sector.Drop_RN_Den','sector.DL_Tput_RN_Mbps','sector.UL_Tput_RN_Mbps','sector.UL_TTI_Util_Rate_pct_RN','sector.DL_TTI_Util_Rate_pct_RN','sector.DL_HARQ_Residual_BLER_pct_RN','sector.UL_HARQ_Residual_BLER_pct_RN','sector.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0001,2025-09-27T17:00:00-04:00,3600,239.71,67,,21,17,17,100,35,35,100,33.55,100,167,167,1.82,3,165,5.73,15.39,2.81,13.84,0.64,0.16,100
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,14312530000-0002,2025-09-27T17:00:00-04:00,3600,139.15,14,,5,15,15,100,4,4,100,7.83,100,16,16,11.76,2,17,28.25,11.34,1.01,1.59,7.44,0.23,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0001,2025-09-27T17:00:00-04:00,3600,201.17,35,,13,45,45,100,16,16,100,29.01,100,89,89,17.57,13,74,68.89,19.23,1.76,0.83,5.2,0.46,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,14312550000-0002,2025-09-27T17:00:00-04:00,3600,1474.34,18,,8,40,39,97.5,13,13,100,39.17,98.1,103,105,15.6,17,109,203.1,23.27,2.02,2.12,1.77,0.07,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0001,2025-09-27T17:00:00-04:00,3600,66.59,14,,8,11,11,100,764,764,100,12.18,100,937,937,0.53,5,938,4.83,21.02,0.7,4.04,1.34,0.05,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,14312570000-0002,2025-09-27T17:00:00-04:00,3600,27.13,2,,6,14,14,100,240,240,100,5.24,100,319,319,0,0,316,56.1,20,0.33,0.16,7.14,0.13,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0001,2025-09-27T17:00:00-04:00,3600,81.16,2,,2,19,19,100,15,15,100,3.65,100,43,43,0,0,48,9.65,4.34,0.2,1.97,1.9,0.34,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,14310760000-0002,2025-09-27T17:00:00-04:00,3600,172.31,5,,6,25,24,96,71,71,100,75.32,100,197,197,0.52,1,192,6.16,4.84,3.65,6.54,1.14,0.12,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0001,2025-09-27T17:00:00-04:00,3600,270.56,15,,9,17,17,100,232,232,100,67.03,100,983,983,0.72,7,976,64.38,8.35,1.89,0.98,8.61,0.24,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,14312590000-0002,2025-09-27T17:00:00-04:00,3600,213.53,32,,15,18,18,100,604,604,100,638.4,100,1231,1231,0.5,6,1210,13.93,26.96,5.56,3.59,0.88,0.03,100
Global,*,VCP Far Edge,NR,,*,000000*000*-*,,3600,2885.66,204,,21,221,219,99.1,1994,1994,100,911.38,99.95,4085,4087,1.33,54,4045,22,16.55,1.99,3.57,1.5,0.14,100
