Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'GNB.DL_GTP_Data_Volume_RN_MB','GNB.ENDC.Sessions.RN','GNB.Intra.CU.HO.Attempts.number','GNB.Max.ENDC.Sessions.RN.number','GNB.Intra_CU_HO_Attempts_RN','GNB.Intra_CU_HO_Success_RN','GNB.Intra_CU_HO_Success_Rate_RN_pct','GNB.SgNB_Modification_Attempts_RN','GNB.SgNB_Modification_Success_RN','GNB.SgNB_Modification_Success_Rate_RN_pct','GNB.UL_GTP_Data_Volume_RN_MB','GNB.Attach_Success_rate_pct_RN','GNB.Attach_Success_RN_Num','GNB.Attach_Success_RN_Den','GNB.Drop_rate_pct_RN','GNB.Drop_RN_Num','GNB.Drop_RN_Den','GNB.DL_Tput_RN_Mbps','GNB.UL_Tput_RN_Mbps','GNB.UL_TTI_Util_Rate_pct_RN','GNB.DL_TTI_Util_Rate_pct_RN','GNB.DL_HARQ_Residual_BLER_pct_RN','GNB.UL_HARQ_Residual_BLER_pct_RN','GNB.Cell_Availability_RN'
Global,Florida,VCP Far Edge,NR,,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,2025-09-27T21:00:00-04:00,3600,143.94,60,30,13,0,0,NaN,29,29,100,20.07,100,6,6,50,3,6,88.63,18.28,0.64,0.23,0.44,0.24,100
Global,Florida,VCP Far Edge,NR,,5GNB_ORANGEPARK_VZ_STORE,1431255,2025-09-27T21:00:00-04:00,3600,164.64,31,30,8,0,0,NaN,21,21,100,15.79,100,29,29,32.14,9,28,116.9,18.08,0.52,0.21,4.25,0.5,100
Global,Florida,VCP Far Edge,NR,,5GNB_STJOHNJAX_VZ_STORE,1431257,2025-09-27T21:00:00-04:00,3600,91.18,20,30,8,0,0,NaN,841,841,100,11.32,99.9,1050,1051,0.57,6,1050,84.88,18.6,0.37,0.16,1.4,0.01,100
Global,Florida,VCP Far Edge,NR,,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100
Global,Florida,VCP Far Edge,NR,,5GNB_TALLAHASSEE_VZ_STORE,1431259,2025-09-27T21:00:00-04:00,3600,116.9,31,30,9,30,27,90,615,615,100,18.3,99.94,1623,1624,0.56,9,1602,31.38,3.93,0.56,0.44,24.28,0.04,100
Global,Florida,VCP Far Edge,NR,,11_E_FORSYTH,1437221,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,2023_GOVERNORS_INAUG_TEMP,1439900,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_11_E_FORSYTH,1439221,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_295_BEAVER,1437028,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_295_BEAVER,1439028,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_AIRPORT_INDUSTRIAL_PARK,1437396,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_AIRPORT_INDUSTRIAL_PARK,1439396,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ALACHUA,1437648,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ALLEY_KATZ,1437657,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ALLTEL_CORNER_DELI,1437285,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ALLTEL_LAKEWOOD,1437078,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ALLTEL_LAKEWOOD,1439078,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_AMBER_VALLEY,1437803,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_AMELIA_ISLAND,1437074,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_AMELIA_ISLAND,1439074,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_AME_CHURCH_OF_MANDARIN_II,1437393,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ANASTASIA_BLVD_2,1437047,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ARCHER_SHOPPING_SC2,1437738,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ARCHER_SHOPPING_SC4,1437702,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ARCHER_SHOPPING_SC5,1437739,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ARCHER_SHOPPING_SC6,1437740,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ARGOS_CEMENT_EAST,1437460,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ARLINGTON_EXPRESSWAY,1437716,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ARRENDONDO_GAINESVILLE,1437639,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ATC_103RD_ST,1437090,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ATC_103RD_ST,1439090,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ATC_CAMP_BLANDING,1437577,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ATC_CAMP_BLANDING,1439577,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ATC_CIMMARON,1437108,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ATC_COLUMBIA,1437625,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Global,Florida,VCP Far Edge,NR,,4G5G_ATC_DUPONT_CENTER,1437214,2025-09-27T21:00:00-04:00,3600,0,0,30,0,0,0,NaN,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
