DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,05,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,01,147.42,48,0,0,NaN,12,31,31,100,21.71,100,7,7,14.29,1,7,93.34,20.14,1.24,0.45,0.2,0.37,100,100,48,7,1374.04,1369.76
09/27/2025,05,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,01,5.11,12,0,0,NaN,3,0,0,NaN,0.78,NaN,0,0,NaN,0,0,83.85,11.35,0.08,0.02,0.03,0.39,100,100,12,0,47.61,47.46
09/27/2025,05,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,01,1.49,20,0,0,NaN,5,0,0,NaN,1.06,100,25,25,13.04,3,23,4.99,8.18,0.16,0.09,36.22,1.11,100,100,20,25,13.92,13.89
09/27/2025,05,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,01,6.02,0,0,0,NaN,1,6,6,100,1.54,100,4,4,0,0,4,65.06,23.82,0.06,0.02,0.73,0,100,100,0,4,56.11,55.91
09/27/2025,05,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,01,31.56,4,0,0,NaN,3,212,212,100,3.68,100,253,253,1.19,3,253,119.63,20.03,0.22,0.08,0.67,0.01,100,100,4,253,294.13,293.26
09/27/2025,05,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,01,1.56,0,0,0,NaN,0,3,3,100,0.49,100,2,2,0,0,2,11.59,15.01,0,0,12.13,0,100,100,0,2,14.52,14.47
09/27/2025,05,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,05,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,05,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,01,67.05,9,1,1,100,6,292,292,100,8.07,100,596,596,0.17,1,594,66.48,4.13,0.46,0.24,11.02,0.01,100,100,9,596,624.97,623.19
09/27/2025,05,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,01,62.71,16,0,0,NaN,9,432,432,100,10.46,100,844,844,0.72,6,835,39.97,4.11,0.61,0.37,16.88,0.04,100,100,16,844,584.51,582.63
Total,*,*,*,*,*,*,*,*,*,*,322.92,109,1,1,100,12,976,976,100,47.79,100,1731,1731,0.81,14,1718,65.67,7.73,0.28,0.13,7.75,0.23,100,1000.0,109.0,1731.0,3009.8100000000004,3000.5700000000006
