DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,06,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,143.63,49,0,0,NaN,14,53,53,100,26.09,100,12,12,0,0,12,84.21,22.06,1.45,0.51,0.24,0.29,100,100,49,12,1338.73,1334.4
09/27/2025,06,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,0.65,12,0,0,NaN,3,0,0,NaN,0.37,NaN,0,0,NaN,0,0,18.78,6.7,0.07,0.01,0.05,0.58,100,100,12,0,6.04,6
09/27/2025,06,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,19.47,20,0,0,NaN,6,12,12,100,4.93,100,61,61,14.04,8,57,22.08,18.07,0.32,0.26,25.85,1.14,100,100,20,61,181.49,180.86
09/27/2025,06,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,9.67,0,0,0,NaN,1,11,11,100,2.28,100,4,4,0,0,4,61.81,22.52,0.14,0.05,0.77,0,100,100,0,4,90.12,89.8
09/27/2025,06,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,30,4,0,0,NaN,3,207,207,100,3.68,99.62,265,266,1.13,3,265,111.67,20.47,0.22,0.08,1.04,0.04,100,100,4,266,279.6,278.78
09/27/2025,06,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,12.99,1,0,0,NaN,2,12,12,100,3.5,100,7,7,14.29,1,7,7.29,22.29,0.22,0.58,3.85,0.04,100,100,1,7,121.04,120.6
09/27/2025,06,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,06,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,06,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,41.31,11,0,0,NaN,6,294,294,100,7.24,100,562,562,1.25,7,560,51.24,3.97,0.43,0.19,9.67,0.02,100,100,11,562,385.03,383.91
09/27/2025,06,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,81.81,22,0,0,NaN,10,450,450,100,17.63,100,841,841,1.21,10,828,37.09,4.42,0.95,0.52,12.83,0.23,100,100,22,841,762.49,759.9
Total,*,*,*,*,*,*,*,*,*,339.52,119,0,0,NaN,14,1039,1039,100,65.71,99.94,1752,1753,1.67,29,1733,42.62,8.6,0.38,0.22,6.8,0.27,100,1000.0,119.0,1753.0,3164.54,3154.25
