DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
09/27/2025,00,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0001,0,825,0,0.25,16,845,1.89,32742.54,5204.13,39,98.1,5.12,75.73,55.25,96.61,5.31,82.31,38.18,10725,4322175,261940.33,3182.4,825,825,100,96.52,1.89,31880.89,27724.84,5205.92,79.7,1.79,0,22580.16,4158.18,5.15,6.83,101.09,1.99,1.23,0,5105.25,900.11,6.15,2.09,22,11,12,7,392,0,388,70.83,79.87,0,0,1,0,0,9,1,0,0,9,0,21.24,25.24,33.95,7.34,0,0,1,1.34,NaN,-114.34,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0002,0,1377,0,0.05,45,1367,3.29,19296.85,4856.51,55,97.75,10.66,66.76,40.28,98.15,3.17,66.53,40.41,5508,11610864,154374.77,2320.22,1377,1377,100,98.32,3.29,18978.11,13008.23,4883.35,98.32,0.75,0,1325.85,421.9,6.94,6.43,104.26,4.24,3.31,0,11653.48,1155.28,13.43,1.98,16,8,8,3,399,0,422,6.99,8.64,0,0,26,8.33,3,36,3,8.33,3,36,5,502.14,3.01,8.13,7.32,0,8.33,3,1.17,NaN,-114.67,0.03
09/27/2025,00,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0003,1,500,0.2,0.55,8,480,1.67,21821.58,1622.71,26,99.68,7.39,40.16,22.18,243.58,3.96,136.65,22.45,10203,1858000,174572.66,1277.47,500,499,100,244.05,1.67,21661.69,4844.99,1630.99,108.14,0,0,494.34,214.11,9.44,13.74,133.79,2.51,6.47,0.31,4343.6,429.38,15.83,2.52,10,5,6,0,161,0,177,2.28,13.13,0,0,4,0,0,8,1,0,0,8,0,1.76,0,143.11,NaN,0,0,1,1.39,NaN,-114.23,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0001,0,6,0,0.13,0,3,0,488.24,221.24,1,99.56,12.68,6.03,7.1,43.14,10.36,15.27,8.15,6,4758,3905.9,255.73,6,6,50,43.67,0,642.65,150.49,221.16,NaN,NaN,NaN,0,0,NaN,NaN,27.72,0,0,0,150.22,4.22,10.43,0.37,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,-118.5,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0002,0,11,0,0.19,0,10,0,577.45,174.8,1,94.52,20.7,6.63,8.44,34.55,7.11,15.2,5.86,22,11825,4619.61,303.84,11,11,50,34.73,0,636.69,14.6,150.14,NaN,NaN,NaN,0,0,NaN,NaN,22.98,0,50,0,14.48,1.17,5.19,1.43,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,2,1,0,0,2,0,0.02,0.06,NaN,16.08,NaN,0,1,1.13,NaN,-119.46,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0003,0,7,0,0.23,1,5,20,193.76,34.47,1,98.81,12.04,1.47,2.78,30.74,6.4,15.47,5.2,7,3087,1550.12,100.22,7,7,50,31.69,20,145.35,2.96,32.48,NaN,NaN,NaN,0,0,NaN,NaN,15.29,20,0,0,2.96,0.29,12.33,0.28,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,1,0,0,1,0,0,0.02,NaN,0.12,NaN,0,1,NaN,NaN,-119.06,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,0,380,0,5.01,6,355,1.69,5189.25,210.17,20,99.64,3.99,5.95,7,144.89,4.23,63.32,5.61,49020,978120,41514,655.62,380,380,100,145.17,1.69,5122.63,3581.32,210.27,421.86,0.75,0,2340.86,39.44,3.7,7.4,70.85,2.26,2.3,0,1233.13,75.3,5.14,2.32,9,3,6,1,134,0,134,45.7,18.76,0,0,3,0,0,2,1,0,0,2,0,0.04,0,27.06,NaN,0,0,1,1.46,NaN,-116.34,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0002,0,467,0,2.54,10,458,2.18,11065.85,508.91,24,99,5.49,16.25,20.3,71.96,7.38,46.58,4.97,46700,1835310,88526.79,1900.46,467,467,100,72.63,2.18,10823.03,8746.35,508.93,120.09,2.41,0,6982.52,266.42,2.18,13.19,44.18,2.05,0.82,0,1702.65,142.03,10.66,4.41,9,3,4,4,166,0,166,64.52,52.35,NaN,0,0,0,0,2,1,0,0,2,0,0.26,0,3.07,NaN,NaN,0,1,2.69,NaN,-115.65,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0003,0,716,0,2.72,8,686,1.17,19606.45,1049.23,53,98.71,4.77,24.05,27.22,60.01,1.98,61.57,6.92,105968,3895756,156851.62,2547.54,716,716,100,60.18,1.17,19064.16,17234.3,1049.05,58.41,0,0,12452.21,461.01,4.74,2.02,62.41,1.81,0,0,4720.77,448.18,4.45,1.7,26,8.67,16,0,244,0,239,65.32,43.95,NaN,0,0,0,0,1,1,0,0,1,NaN,0,0,NaN,NaN,NaN,0,1,4,NaN,-115.81,0
09/27/2025,00,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1439028,0001,0001,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
