DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
09/27/2025,14,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0,71,0,0.11,1,79,1.27,1872.57,403.72,5,98.37,23.91,7.34,9.44,69.73,4.14,14.7,4.07,355,324115,14980.54,1019.29,71,71,50,70.96,1.27,3782.11,97.12,400.15,NaN,NaN,NaN,0,0,NaN,NaN,22.69,1.27,7.14,0,96.91,12.5,10.41,0.45,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,1,0,0,17,0,0.74,0.77,15.3,1.17,0,0,1,1.68,NaN,12.61,4560,575,-118.69,0
09/27/2025,14,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0,5148,0,3.71,95,4932,1.93,92226.44,6860.89,177,98.96,7.78,32.32,38.52,58.52,3.45,68.22,11.23,8870004,239206968,737811.52,10815.87,5148,5148,100,59.16,1.93,89926.85,74694.78,6859.08,92.36,0.82,0,40367.79,1946.13,3.4,4.74,48.05,2.05,0.26,0,34085.67,3610.91,12.33,3.1,50,5.56,19,4,486,0,482,44.89,28.37,0,0,25,0,0,47,2,0,0,47,0,33.93,5.17,47.86,13.26,0,0,2,4.29,0,47.56,44743,21280,-115.89,0
09/27/2025,14,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1439028,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
09/27/2025,14,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1437396,2,5996,0.03,2.53,108,5684,1.9,121030.57,12221,213,98.71,11.14,64.16,49.75,81.34,2.76,112.62,35.27,8886550,351749344,968244.57,8597.46,5996,5994,100,81.36,1.9,118563.98,90064.85,12254.6,98.5,0.31,0,31205.52,2453.38,4.79,6.27,74.68,2.1,0.33,0.04,58630.92,5241.32,16.87,1.7,47,7.83,9,2,642,0,645,26.32,20.02,0,0,53,1.23,1,81,4,0,0,80,3.85,22.63,1.44,34.04,0.63,0,1.23,4,3.1,0,40.82,57201,23349,-114.57,0
09/27/2025,14,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1439396,0,105,0,4.72,0,95,0,1704.51,281.29,6,99.43,15.7,7.3,7.33,62.42,1.99,17.23,2.85,20370,431445,13636.05,791.23,105,105,100,64.02,0,1869.57,234.49,251.68,NaN,0,0,0,0,1.18,NaN,40.62,0,20.83,0,233.11,87.31,7.52,2.83,1,0.33,1,0,1,0,1,0,0,0,0,6,0,0,9,1,0,0,9,0,2.52,0,45.71,0.05,0,0,1,2.26,NaN,21.74,3915,851,-116.66,0
09/27/2025,14,5GNR,Florida,143,Jacksonville,4G5G_ALACHUA,1437648,3,5157,0.06,3.72,104,5177,2.01,144026.72,8617.37,221,96.69,5.41,54.23,38.08,92.71,1.71,131.31,22.07,7414023,199333521,1152213.72,8774.72,5157,5154,50,92.66,2.01,144161.15,124412.35,8616.75,121.91,0.5,0,71477.3,3043.23,2.42,2.51,72.59,2.47,0.04,0.08,51681.92,3552.26,8.92,0.99,84,10.5,23,6,1201,0,1202,49.58,35.32,0,0,7,0,0,16,2,0,0,16,0,0.25,0.01,NaN,3.57,0,0,2,1.03,0,38.15,37237,14205,-115.2,0
09/27/2025,14,5GNR,Florida,143,Jacksonville,4G5G_ALLEY_KATZ,1437657,4,8196,0.05,2.3,284,8147,3.49,183604.65,10747.06,318,98.18,12.16,60.77,53.21,62.35,1.21,159.73,32.75,13668012,595185324,1468837.17,9195.49,8196,8192,100,62.38,3.49,181224.41,137104.48,10741.34,86.12,0.78,0.04,76623.01,2421.52,8.7,0.95,38,4.72,0.11,0.05,60005.59,5383.7,17.13,1.02,122,20.33,48,20,2552,1,2558,42.28,22.54,2.63,1,38,0,0,61,3,0,0,61,4.35,205.32,0.05,187.49,NaN,2.63,0,3,1.83,0,42.58,70986,30223,-114.4,0
09/27/2025,14,5GNR,Florida,143,Jacksonville,4G5G_ALLTEL_CORNER_DELI,1437285,5,7246,0.07,5.85,197,7110,2.77,248913.03,12889.12,302,98.66,5.38,26.23,46.36,80.5,1.68,152.98,26,18076787,309027408,1991304.22,13016.69,7246,7241,100,80.74,2.77,244020.63,171957.48,12886.78,92.77,0.08,0,133835.82,4785.35,3.83,1.74,44.04,4.12,0.49,0.1,37761.87,3618.81,12.07,0.98,160,17.78,38,2,2377,0,2343,54.85,37.13,0,0,14,0,0,25,2,0,0,25,0,14.9,2.14,126.4,8.31,0,0,2,2.69,0,33.55,40181,13479,-114.93,0
09/27/2025,14,5GNR,Florida,143,Jacksonville,4G5G_ALLTEL_LAKEWOOD,1437078,2,3692,0.05,0.26,97,3702,2.62,124248.72,11817.6,158,97.74,4.3,22.97,33.46,107.59,4.64,105.81,27.22,204118,77085268,993989.77,9394.44,3692,3690,100,107.97,2.62,122884.06,77395.18,11783.23,126.52,0,0,60347.21,5214.67,2.44,5.37,55.99,4.18,1.32,0.09,16808.54,1477.21,11.54,1.22,80,8.89,21,0,1382,0,1379,49.11,44.26,0,0,16,0,0,18,1,0,0,18,0,4.11,0.03,152,5.89,0,0,1,2.35,0,24.05,20835,5010,-115.21,0
09/27/2025,14,5GNR,Florida,143,Jacksonville,4G5G_ALLTEL_LAKEWOOD,1439078,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
