DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%,pmHoExeAttOutIntraGnb,pmRadioRaCbFailMsg1Ooc,EBSN_SA_NSA_DRB_Volume
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0001,04,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0001,08,0,29,0,0.14,1,29,3.45,314.5,93,1,98.49,12.23,6.32,6.35,45.22,3.53,11.01,3.27,58,42572,2516,228.46,29,29,100,45.86,3.45,469.6,84.11,92.44,NaN,NaN,NaN,0,0,NaN,NaN,22.27,3.45,25,0,83.45,11.57,7.02,1.1,0,0,0,0,0,0,0,0,0,11.19,1466,164,-117.9,0,54,2,453.28
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0002,04,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0002,08,0,30,0,0.09,2,30,6.67,972.84,149.97,2,96.97,17.23,14,16.85,36.42,1.87,12.83,2.38,60,67530,7782.73,606.55,30,30,100,36.89,6.67,1371.9,178.35,150.29,NaN,NaN,NaN,0,0,NaN,NaN,24.66,6.67,12.5,0,175.83,12.59,3.84,0.33,0,0,0,0,0,0,0,0,0,10.32,2249,232,-119.31,0,109,1,1328.58
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0003,04,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0003,08,0,37,0,0,0,39,0,877.52,46.15,2,99.16,13.06,4.51,8.4,38.99,2.75,23.23,2.27,0,31857,7020.13,302.24,37,37,100,39.4,0,1300.04,1091.44,44.74,NaN,NaN,NaN,0,0,NaN,NaN,39.35,0,0,0,1082.37,12.96,12.32,0.97,0,0,0,0,0,0,0,0,0,10.69,861,92,-118.68,0.04,117,0,1285.51
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,08,0,419,0,2.94,9,397,2.27,1757.42,200.61,10,98.64,15.46,12.86,21.54,37.74,4.04,18.13,3.47,28911,983393,14059.37,775.37,419,419,100,38.34,2.27,2466.62,1589.91,202.36,NaN,0,0,0.02,0.03,4.23,8.96,36.06,2.3,6.74,0,1567.77,116.77,17.45,8.73,1,1,1,0,5,0,5,0,0.02,38.76,2278,883,-120.35,0,53,44,2404.79
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,10,0,391,0,6.91,7,454,1.54,12694.52,704.03,24,98.92,3.76,37.57,28.29,221.95,8.31,124.63,20.82,112999,1634380,101556.16,814.86,391,391,100,221.78,1.54,11808.11,9345.7,704.08,336.29,1.39,0,6977.91,142.04,3.22,8.67,95.1,1.61,0,0,2354.65,325.04,6.37,5.45,8,8,8,2,144,0,148,59.09,20.17,57.83,3891,2250,-115.44,0,146,47,11116.91
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,11,0,102,0,9.37,1,78,1.28,4227.48,398.91,6,99.23,1.56,27.36,16.95,95.51,15.06,69.29,16.2,8772,93636,33819.82,488.1,102,102,100,95.57,1.28,3988.7,3956.85,398.95,112.4,20,0,3485.62,318.37,1.14,19.03,75.84,0,0,0,464.31,78.8,4.67,9.91,4,4,4,1,5,0,5,87.39,79.8,58.17,832,484,-115.38,0,19,4,3968.94
09/27/2025,16,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0002,08,0,886,0,1.12,14,776,1.8,6620.76,701.06,25,97.3,14.04,36.85,63.47,23.84,5.6,23.18,4.23,71766,6424386,52966.08,2284.96,886,886,100,24.14,1.8,8199.26,6524.06,699.23,32.49,15.38,0,3219.78,100.81,9.69,10.37,16.14,1.57,0.59,0,3253.12,421.68,17.43,6.6,5,5,5,2,13,0,13,39.42,14.42,33.68,7170,2415,-119.28,0,193,2,8090.78
