DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,0.01,12.96,265080.01,76336.33,316,91,51152,8134,0.78,720,4,0,557.5,0,7918,99.63,7918,7889,62
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,0.01,2.87,1292684.49,73819.75,1541,88,103596,9716,2,720,17.88,1,1440.6,0,4193,99.71,4193,4181,69
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,0.01,0.52,2047659.21,311217.36,2441,371,15239,3938,0,720,0,0,0,0,1715,99.88,1715,1713,4
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,0.04,1449.29,1900858.57,157705.83,2266,188,5370426,469544,27.83,3600,66.38,0,100203.88,0,430474,99.91,430447,430107,3194
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,0.03,714.03,2160066.56,242430.77,2575,289,4436930,410091,20.71,2160,50.12,0,44726.86,0.01,400274,99.93,400250,399975,2813
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709006,0.02,2.75,436207.62,24326.96,520,29,4526,798,0.01,1440,2.12,0,6.87,0,670,100,670,670,2
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700011,0.01,0.07,29360.13,3355.44,35,4,1160,115,0,0,0,0,0,0,327,99.39,327,325,1
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700022,0.01,5.68,135056.59,27682.41,161,33,51739,6142,0,0,0,0,0,0,2381,99.71,2381,2374,27
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709002,0.03,2056.68,1704565.15,157705.83,2032,188,4752087,461213,0,0,0,0,0,0.02,398339,99.87,398333,397829,4085
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709099,0,0.78,199648.87,10066.33,238,12,8544,670,0,0,0,0,0,0,653,100,653,653,5
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,ROCH100_HNRT,0700100,0,0.05,13421.77,99824.44,16,119,247,191,0,0,0,0,0,0,95,100,95,95,1
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,SABRES_ARENA_IBS_2,0700012,0,4.62,57042.53,30198.99,68,36,7217,2551,0,0,0,0,0,0,1343,100,1343,1343,4
Total,*,*,*,*,*,*,*,0.01,4250.3,2160066.56,311217.36,2575,371,14802863,1373103,8.55,9360,66.38,0,146935.71,0,1248382,99.9,1248325,1247154,10267
