DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,0.18,12.64,442079.64,138412.03,527,165,50692,9904,2.82,720,7.25,1,2029.35,0,7901,99.63,7901,7872,66
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700011,0,0.54,42781.9,6710.89,51,8,1871,141,0,0,0,0,0,0,328,99.7,328,327,3
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700012,0,26.36,312895.08,163577.86,373,195,125518,28089,0,0,0,0,0,0,16493,99.99,16493,16492,27
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,0.01,5.09,290245.84,62914.56,346,75,111281,14341,2.51,720,9.25,1,1808.61,0,4846,99.83,4846,4838,48
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700022,0.01,7.68,1051092.58,307861.91,1253,367,84571,6751,0,0,0,0,0,0,2651,99.89,2651,2648,21
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,0.01,1.81,249141.66,31876.71,297,38,13576,3129,0,720,0,0,0,0,1619,99.69,1619,1614,10
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,0.04,1083.88,2076180.48,197971.15,2475,236,5592079,491984,29.11,3600,69.75,0,104812.72,0.02,446022,99.91,445972,445615,3424
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0709002,0.03,1136.84,1928540.98,213909.5,2299,255,5163522,476064,0,0,0,0,0,0.01,400352,99.86,400347,399791,3960
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,0.13,655.38,2458701,226492.42,2931,270,4700291,416105,21.43,2160,52,0,46293.99,0.01,381893,99.93,381870,381613,2734
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0709004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0709006,0.01,8.97,117440.51,17616.08,140,21,13752,1560,0.01,1440,1.12,0,15.37,0,1781,99.94,1781,1780,8
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0709007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0709089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,HNRT,0709099,0,2.03,60397.98,20132.66,72,24,4480,377,0,0,0,0,0,0,343,99.71,343,342,2
09/27/2025,16,5GNR,Upstate New York,070,Buffalo,ROCH100_HNRT,0700100,0.02,0,39426.46,838.86,47,1,383,29,0,0,0,0,0,0,127,100,127,127,0
Total,*,*,*,*,*,*,*,0.03,2941.22,2458701,307861.91,2931,367,15862016,1448474,9.31,9360,69.75,0,154960.04,0,1264356,99.9,1264278,1263059,10303
