Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'Carrier5G.S5NC_DRBSetupFail_pct_SA_SNSSAI6','Carrier5G.S5NC_DRBSetupFail_pct_den_SA_SNSSAI6','Carrier5G.S5NC_DRBSetupFail_num_SA_SNSSAI6','Carrier5G.S5NC_PDUSetupFail_pct_SA_SNSSAI6','Carrier5G.S5NC_PDUSetupFail_pct_den_SA_SNSSAI6','Carrier5G.S5NC_PDUSetupFail_pct_num_SA_SNSSAI6','Carrier5G.S5ND_AvgAirIfDelay_DL_SA_us_5QI133_SNSSAI6','Carrier5G.S5ND_AvgIPLatency_DL_us_5QI133_SNSSAI6','Carrier5G.S5ND_AvgRLCDelay_DL_SA_us_5QI133_SNSSAI6','Carrier5G.S5ND_AvgRLCDelay_UL_SA_us_5QI133_SNSSAI6','Carrier5G.S5ND_AvgUEThpt_SA_Mbps_5QI133_RFSP95_SNSSAI6','Carrier5G.S5ND_DLActiveUE_Avg_SNSSAI6','Carrier5G.S5ND_DLRLC_SDU_Drop_pmm_pct_5QI133_SNSSAI6','Carrier5G.S5NR_DLPRBUtilization_pct_SNSSAI6','Carrier5G.S5NU_AvgPDCPDelay_DL_us_Cell_SNSSAI','Carrier5G.S5NU_AvgPDCPDelay_DL_us_Cell_5QI133_SNSSAI6','Carrier5G.S5NU_AvgPDCPDelay_UL_us_Cell_SNSSAI','Carrier5G.S5NU_AvgPDCPDelay_UL_us_Cell_5QI133_SNSSAI6','Carrier5G.S5NU_DLPDCP_SDU_DataVolume_MB_5QI133_SNSSAI6','Carrier5G.S5NU_DLPDCP_SDU_Drop_pmm_pct_5QI133_SNSSAI6','Carrier5G.S5NU_DLPDCP_SDU_Loss_pmm_pct_5QI133_SNSSAI6','Carrier5G.S5NU_ULPDCP_SDU_DataVolume_MB_5QI133_SNSSAI6','Carrier5G.S5NU_ULPDCP_SDU_Loss_pmm_pct_5QI133_SNSSAI6','Carrier5G.RLCDLPKTDISCARDCNTPDCP_5QI133','Carrier5G.RLCDLPKTDROPCNTFULLBUF_5QI133','Carrier5G.RLCDLPKTRECEIVECNT_5QI133','Carrier5G.ErabAddAtt_per_GNB','Carrier5G.RssiPathAvg_Path0','Carrier5G.RssiPathAvg_Path1','Carrier5G.RssiPathAvg_Path2','Carrier5G.RssiPathAvg_Path3','Carrier5G.RssiPathAvg','Carrier5G.S5NR_DLPRBUtilization_pct','Carrier5G.S5NR_ULPRBUtilization_pct','Carrier5G.5GNR_ENDC_Drop_pct','Carrier5G.5GNR_ENDC_Drop_pct_num','Carrier5G.5GNR_ENDC_Drop_pct_den','Carrier5G.S5NR_PDCCH_Blocking_Tot_pct','Carrier5G.S5NR_Cell_Availability_pct','Carrier5G.S5NC_MaxUENo_SPID125','Carrier5G.S5ND_TotalMACDataVolumeDL_MB_SPID125','Carrier5G.S5ND_DLUeThru_Mbps_SPID125','Carrier5G.S5NC_ERAB_Drop_Rate_FWA_pct_num','Carrier5G.S5NC_ERAB_Drop_Rate_FWA_pct','Carrier5G.S5NC_ERABSetupFailureRate_pct_QCI132','Carrier5G.S5NR_MaxRRCconnectedUsersPerDU','Carrier5G.S5NR_TotalDLRLCLayerDataVolume_MB','Carrier5G.S5NR_DLUserPerceivedTput_Mbps','Carrier5G.S5NR_TotalERABSetupFailureRate_pct','Carrier5G.S5NR_TotalERABSetupFailureRate_pct_num','Carrier5G.S5NR_TotalERABSetupFailureRate_pct_den','Carrier5G.S5NC_DRBDrop_pct_SA','Carrier5G.S5NC_DRBDrop_num_SA','Carrier5G.S5NC_DRBDrop_den_SA','Carrier5G.S5NC_DRBSetupFail_pct_SA','Carrier5G.S5NC_DRBSetupFail_num_SA','Carrier5G.S5NC_DRBSetupFail_den_SA','Carrier5G.S5NR_IntragNBHOFailRate_pct','Carrier5G.S5NR_IntragNBHOFailRate_den','Carrier5G.S5NR_IntragNBHOFailRate_num','Carrier5G.S5NR_IntergNBHOFailRate_pct','Carrier5G.S5NR_IntergNBHOFailRate_den','Carrier5G.S5NR_IntergNBHOFailRate_num','Carrier5G.S5NR_AvgRRCconnectedUsersPerDU_PerCell','Carrier5G.S5NR_DLMACLayerDataVolume_MB','Carrier5G.S5NR_PUCCHAvgSINR_dB','Carrier5G.S5NR_PUSCHAvgSINR_dB','Carrier5G.S5NR_TotalULRLCLayerDataVolume_MB','Carrier5G.S5NR_ULMACLayerDataVolume_MB','Carrier5G.S5NR_ULUserPerceivedTput_Mbps'
070,Upstate New York,VCP Far Edge,NR,,,07090013052-181-10,2025-09-27T11:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,1386,-88.82,-88.75,-88.9,-88.87,-88.91,19.28,30.37,0.49,14,2854,0.76,100,6,1697.85,333.84,0,0,0,,23974.42,163.2,0,0,1386,0.17,6,3540,0,0,3420,0.08,1229,1,0,57,0,26.49,30108.16,8.01,13.51,1345.46,2961.45,2.58
070,Upstate New York,VCP Far Edge,NR,,,07090013052-181-11,2025-09-27T11:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,-91.45,-91.5,-91.51,-91.58,-91.58,9.25,11.18,0.61,8,1313,0.49,100,2,37.34,NaN,0,0,0,,9166.33,185.68,0,0,1110,0,0,587,0,0,677,0.17,594,1,0,6,0,10.62,10418.44,8.4,17.25,600.14,885.83,5.75
070,Upstate New York,VCP Far Edge,NR,,,07090013052-182-10,2025-09-27T11:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,1243,-86.91,-87.06,-87.06,-87.07,-86.96,14.54,27.56,0.75,24,3199,0.6,100,1,0.22,16.38,0,NaN,NaN,,33316.05,124.46,0,0,1243,0.35,7,1994,0,0,1968,0.24,1665,4,0,74,0,16.76,27346.74,8.47,15.56,1675.46,3030.16,6.84
070,Upstate New York,VCP Far Edge,NR,,,07090013052-182-11,2025-09-27T11:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,405,-91.16,-91.3,-91.19,-91.14,-90.99,9.78,5.46,0.24,2,848,0.41,100,1,48.1,324.73,0,NaN,NaN,,3139.09,154.2,0,0,405,0,0,253,0,0,340,0.43,465,2,0,17,0,3.61,13917.71,8.88,18.14,271.6,451.32,8.23
070,Upstate New York,VCP Far Edge,NR,,,07090013052-183-10,2025-09-27T11:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,411,-88.35,-88.28,-88.33,-88.4,-88.38,3.06,7.45,0.69,8,1160,1.13,100,0,0,NaN,0,NaN,NaN,,4702.15,267.96,0,0,411,3.04,14,460,0,0,503,1.6,748,12,6.25,32,2,3.62,5268.32,8.7,16.09,534.98,792.21,7.05
070,Upstate New York,VCP Far Edge,NR,,,07090013052-183-11,2025-09-27T11:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,104,-92.29,-92.38,-92.29,-92.46,-92.41,1.27,1.48,0.4,1,249,0.46,100,0,0,NaN,0,NaN,NaN,,1169.35,194.67,0,0,104,0,0,56,0,0,82,1.09,184,2,0,5,0,0.8,1528.91,8.86,18.06,63.68,97.15,4.01
070,Upstate New York,VCP Far Edge,NR,,,07090012265-64-7,2025-09-27T11:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,249,-98.66,-98.58,-98.72,-98.6,-98.64,6.67,2.22,6.31,39,618,3.61,100,0,0,NaN,0,NaN,NaN,,245.01,8.25,0,0,249,0.71,4,564,0.59,5,842,0.35,288,1,0,10,0,1.04,342.92,8.69,11.32,1.54,99.47,3.12
070,Upstate New York,VCP Far Edge,NR,,,07090012265-65-7,2025-09-27T11:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,495,-99.46,-99.71,-96.06,-99.95,-98.8,18.82,5.93,3.67,51,1391,7.89,100,0,0.02,NaN,0,NaN,NaN,,620.48,11.38,0.2,1,495,0.36,7,1970,0,0,2662,0.15,673,1,1.23,81,1,1.95,971.21,8.61,10.65,24.31,228.83,2.1
070,Upstate New York,VCP Far Edge,NR,,,07090012265-66-7,2025-09-27T11:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,208,-95.22,-97.09,-95.02,-96.83,-96.04,13.51,1.88,10.87,75,690,6.73,100,0,0,NaN,0,NaN,NaN,,276.03,6.61,0,0,208,1.04,9,865,0.46,5,1079,0.28,358,1,10,10,1,1,556.32,8.46,10.81,2.66,83.38,1.55
070,Upstate New York,VCP Far Edge,NR,,,07090013265-64-10,2025-09-27T11:00:00-04:00,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,295,-86.92,-86.99,-86.95,-87.16,-86.68,2.28,11.17,2.18,23,1057,0.62,100,0,0.71,NaN,0,0,0,,1709.87,225.29,0,0,295,0,0,589,0,0,468,0.94,745,7,0,18,0,3.96,2688.02,8.14,11.13,177.97,345.29,2.09
