DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DUNAME,DU,SECTOR,CARRIER,5GNR_ENDC_Drop%,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop_%_den,S5NR_Cell_Availability_%,ErabAddAtt_per_GNB,ErabAddSucc_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_DLPRBUtilization_%,S5NR_DLUserPerceivedTput_Mbps,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PUCCH_BLER_%,S5NR_PUCCHAvgSINR_dB,S5NR_PUSCHAvgSINR_dB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalERABSetupFailureRate_%,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_ULPRBUtilization_%,S5NR_ULUserPerceivedTput_Mbps,S5NC_DRBDrop_%_SA,S5NC_NRDCAdd_MN_Succ_%_SA,S5NC_NGSetupFailure_%_SA,S5NC_RRCSetupFailure_%_SA,S5NC_EPSFB_IRAT_HO_PrepFailure_%_SA,S5NC_EmergFB_IRAT_HO_Failure_%_SA,S5NC_EPSFB_IRAT_HO_Failure_%_SA,RssiPathAvg_Path0,RssiPathAvg_Path1,RssiPathAvg_Path2,RssiPathAvg_Path3,RssiPathAvg,S5NR_PDCCH_Blocking_Tot_%,S5NC_MaxUENo_SPID125,S5ND_TotalMACDataVolumeDL_MB_SPID125,S5ND_DLUeThru_Mbps_SPID125,S5NC_ERAB_Drop_Rate_FWA_%_num,S5NC_ERAB_Drop_Rate_FWA_%,S5NC_ERABSetupFailureRate%_QCI132,S5NR_TotalERABSetupFailureRate_%_num,S5NR_TotalERABSetupFailureRate_%_den,S5NC_DRBDrop_num_SA,S5NC_DRBDrop_den_SA,S5NC_DRBSetupFail_%_SA,S5NC_DRBSetupFail_num_SA,S5NC_DRBSetupFail_den_SA,S5NR_IntragNBHOFailRate_%,S5NR_IntragNBHOFailRate_den,S5NR_IntragNBHOFailRate_num,S5NR_IntergNBHOFailRate_%,S5NR_IntergNBHOFailRate_den,S5NR_IntergNBHOFailRate_num,S5NR_AvgRRCconnectedUsersPerDU_PerCell,Sum_DLRLCDataVolume_MB
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0080,80,1,14.29,1,7,100,9,9,1201.06,5.89,71.48,0.01,0.02,0.05,0.04,16.94,13.96,1936.79,0,5.75,25.15,0.12,6.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.4,-115.23,-115.58,-115.07,-115.57,0.02,1,1198.84,71.49,1,25,0,0,9,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.85,1936.79
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0080,80,2,8.33,1,12,100,11,11,584.31,2.71,42.1,0.21,0.2,0,0.57,16.28,13.85,55.1,0,11.59,24.01,0.15,13.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.5,-115.37,-115.94,-115.27,-115.77,0.2,0,451.24,NaN,0,NaN,NaN,0,11,0,0,NaN,0,0,0,2,0,NaN,0,0,0.2,55.1
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0080,80,3,0,0,3,100,3,3,209.71,1.98,71.95,0.02,0.02,0,1.47,17.51,13.76,5.59,0,0.8,1.56,0.01,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.34,-115.54,-115.56,-115.4,-115.71,0.02,0,201.27,NaN,0,NaN,NaN,0,3,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.08,5.59
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0081,81,1,17.39,8,46,100,43,43,174.35,0.57,36.78,0,0,0,1.31,16.22,13.22,90.66,0,6.58,16.49,0.13,3.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.62,-114.06,-115.33,-115.73,-115.19,0,0,0,NaN,0,NaN,NaN,0,43,0,0,NaN,0,0,0,4,0,NaN,0,0,0.34,92.31
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0081,81,2,9.09,1,11,100,9,9,13.72,0.04,63.3,0.02,0.02,0,3.25,15.08,11.41,8.51,0,0.16,0.57,0.01,1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.85,-114.43,-115.63,-115.81,-115.43,0.02,0,0,NaN,0,NaN,NaN,0,9,0,0,NaN,0,0,0,2,0,NaN,0,0,0.04,8.51
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0082,82,1,20,1,5,100,5,5,3.55,0.03,15.26,0,0.01,0.05,9.02,15.87,9.82,2.59,0,0.23,0.43,0.01,1.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.54,-115.46,-114.28,-115.11,-115.1,0.01,0,0,NaN,0,NaN,NaN,0,5,0,0,NaN,0,0,0,1,0,NaN,0,0,0.01,2.59
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0095,95,1,NaN,0,0,100,4,4,3218.87,1.94,255.29,0.19,0.17,0.01,0.3,17.37,21.38,1575.05,0,53.73,144.19,0.41,40.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-112.94,-114.39,-114.06,-115.1,-114.12,0.16,1,2998.27,255.29,0,NaN,NaN,0,4,0,0,NaN,0,0,NaN,0,0,NaN,0,0,1,1734.82
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0095,95,2,0,0,9,100,10,10,223.44,0.19,38.83,0.08,0.06,0,0.06,16.62,12.09,4.83,0,2.21,6.25,0.06,4.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.53,-115.44,-115.78,-115.89,-115.91,0.06,1,204.31,34.74,0,0,0,0,10,0,0,NaN,0,0,0,1,0,NaN,0,0,1.01,4.83
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0095,95,3,15,3,20,100,13,13,157.2,0.2,129.58,0.01,0.01,0.01,1.58,16.76,13.51,57.12,0,3.71,6.54,0.05,4.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.73,-115.61,-115.87,-116.22,-115.86,0.01,0,92.76,NaN,0,NaN,NaN,0,13,0,0,NaN,0,0,0,7,0,NaN,0,0,0.14,57.12
09/27/2025,14,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,AMERICAN_STORAGE-HNRT,0095,95,4,25,1,4,100,3,3,57.6,0.08,29.61,0,0,0,8.47,14.62,6.98,1.27,0,0.1,0.17,0,1.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-113.62,-115.81,-115.39,-116.07,-115.22,0,0,46.3,NaN,0,NaN,NaN,0,3,0,0,NaN,0,0,0,1,0,NaN,0,0,0.01,1.27
