DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,4.11,3.04,2.44,2.45,2.42,36.9,37.55,36.56,26564.62,1755.5,2475.71,0,0,0.66,1.31
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,3.32,1.07,1.28,1.28,1.28,11.3,11.85,11.12,4066.74,461.43,471.42,0,0,2.6,2.46
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,6.71,1.17,1.29,1.29,1.29,11.89,12.52,11.67,4281.62,463.95,757.45,0,0,4.11,5.63
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,1.87,0.59,9.92,9.93,9.9,77.25,78.3,76.43,55623.15,7140.02,529.6,0,0,3.01,16.57
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,1.8,0.54,9.87,9.87,9.85,77.24,78.34,76.35,55614.04,7100.94,566.59,0,0,2.73,21.01
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,8.1,6.41,2.46,2.47,2.46,40.88,41.32,40.74,14715.39,885.81,2541.02,0,0,1.47,2.1
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,10.1,2.26,0.66,0.67,0.66,7.11,7.73,6.8,2558.24,239.22,1184.58,0,0,12.75,23.38
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.94,0.76,12.88,12.88,12.87,85.01,85.3,84.94,30604.84,4635.14,324.39,0,0,20.38,29.25
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.87,6.87,2.47,2.47,2.46,41.34,41.83,41.19,14882.38,888.16,2610.3,0,0,2.47,2.44
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,12.08,3.1,0.72,0.73,0.72,7.7,8.62,7.37,2771.15,259.99,1417.14,0,0,27.23,34.91
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,2.07,0.98,12.87,12.88,12.86,85.22,85.49,85.15,30679.45,4632.94,461.99,0,0,32.63,42.85
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,6.84,5.93,2.33,2.33,2.32,40.28,40.69,40.17,14499.35,837.69,2225.54,0,0,1.12,0.26
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,3.43,0.95,0.46,0.46,0.46,6.32,6.62,6.26,2276.76,165.26,424.95,0,0,1.56,2.2
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,1.79,0.59,12.81,12.82,12.81,83.92,84.19,83.85,30210.13,4612.54,282.48,0,0,0.54,0.57
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.06,22.21,2.95,2.45,2.47,2.43,37.5,38.75,36.55,27001.36,1762.91,7238.87,0,0,108.89,106.79
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19,21.08,1.2,1.67,2.09,1.29,15.56,24.66,11.19,11206.75,1201.66,5177.53,0,0,184.72,197.58
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,13.75,0.51,9.92,9.94,9.9,78.06,80.02,76.34,56205.43,7141.44,3738.39,0,0,58,5106.24
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,12.96,8.19,9.93,9.93,9.92,79.66,79.96,79.58,28677.46,3573.35,3464.76,0,0,61.35,4241.22
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CPC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,1.66,0.52,9.86,9.86,9.85,76.39,76.71,76.3,27499.7,3548.3,230.12,0,0,0.38,0.41
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82,9.05,7.15,2.47,2.47,2.46,38.55,38.98,38.41,13879.85,887.65,2815.23,0,0,32.68,35.3
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,4.32,3.25,2.43,2.43,2.42,36.61,37.06,36.5,13180.39,874.61,1380.22,0,0,0.81,0.7
09/27/2025,00,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,18.05,1.05,1.57,1.84,1.32,14.08,20.04,11.11,10137.52,1128.19,3975.13,0,0,73.72,104.24
