Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'ACPF.CpuUsageAvg.percent','ACPF.CpuUsageMax.percent','ACPF.CpuUsageMin.percent','ACPF.DiskUsageAvg.percent','ACPF.DiskUsageMax.percent','ACPF.DiskUsageMin.percent','ACPF.MemUsageAvg.percent','ACPF.MemUsageMax.percent','ACPF.MemUsageMin.percent','ACPF.MemUsageTot.number','ACPF.DiskUsageTot.number','ACPF.CpuUsageTot.number','ACPF.DiskUsageCnt.number','ACPF.InThruPeak_VM.number','ACPF.OutThruPeak_VM.number'
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,ACPF-CIC-00,2025-09-27T04:00:00-04:00,3600,3.42,4.15,2.92,2.44,2.45,2.42,37,37.28,36.72,26641.42,1755.62,2463.25,,0.76,1
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,ACPF-CMC-00,2025-09-27T04:00:00-04:00,3600,1.29,2.94,1.01,1.28,1.28,1.28,11.38,11.41,11.35,4094.3,461.4,464.12,,2.57,2.9
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,ACPF-CMC-01,2025-09-27T04:00:00-04:00,3600,2.03,6.93,1.13,1.29,1.29,1.29,12.04,12.08,12.01,4332.74,464.07,731.11,,4.23,6.41
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,ACPF-CPC-00,2025-09-27T04:00:00-04:00,3600,0.71,1.03,0.58,9.92,9.93,9.91,77.32,78.09,76.55,55670.67,7140.47,514.3,,2.89,2.4
070,Upstate New York,VCP Edge 1.x,NR,,ESYR,ACPF-CPC-02,2025-09-27T04:00:00-04:00,3600,0.77,1.28,0.54,9.87,9.87,9.85,77.31,78.15,76.47,55662.65,7100.77,554.59,,2.67,3.5
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T04:00:00-04:00,3600,7.01,7.44,6.28,2.46,2.47,2.46,41,41.03,40.98,14761.24,886.57,2525.66,,1.99,1.34
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T04:00:00-04:00,3600,3.15,7.37,2.29,0.66,0.66,0.66,7.29,7.31,7.27,2623.9,236.71,1135.44,,12.11,23.42
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T04:00:00-04:00,3600,0.81,1.35,0.7,12.88,12.88,12.87,85.08,85.1,85.07,30629.93,4635.5,291.5,,20.2,16.72
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-01,2025-09-27T04:00:00-04:00,3600,7.19,7.8,6.83,2.47,2.47,2.46,41.44,41.54,41.41,14917.37,888.22,2589.43,,2.83,2.3
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CMC-01,2025-09-27T04:00:00-04:00,3600,3.73,8.4,3.12,0.72,0.72,0.72,8.07,8.11,8.03,2906.41,258.21,1340.75,,26.58,33.03
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CPC-00,2025-09-27T04:00:00-04:00,3600,1.18,1.9,0.91,12.87,12.87,12.87,85.33,85.35,85.31,30718.22,4633.06,423.58,,32.19,28.19
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,ACPF-CIC-00,2025-09-27T04:00:00-04:00,3600,6.18,6.62,5.91,2.33,2.33,2.32,40.39,40.43,40.36,14540.88,837.76,2224.99,,0.51,0.41
