DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,PORTTYPE,PORTID,InErrors_VM_AUPF,InOctets_VM_AUPF,InPkts_VM_AUPF,InThruPeakCnt_VM_AUPF,InThruPeak_VM_AUPF,OutErrors_VM_AUPF,OutOctets_VM_AUPF,OutPkts_VM_AUPF,OutThruPeakCnt_VM_AUPF,OutThruPeak_VM_AUPF
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UIC,0,EXTERNAL_TYPE,0,0,31,161269,358,0.14,0,21,151790,358,0.1
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UIC,0,EXTERNAL_TYPE,1,0,0,2595,358,0.01,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UIC,0,INTERNAL_TYPE,0,0,58,333782,358,0.3,0,51,257986,358,0.27
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UIC,0,INTERNAL_TYPE,1,0,0,2585,358,0.01,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UMC,1,INTERNAL_TYPE,0,0,185,1107724,357,3,0,161,1133399,357,4.64
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UMC,1,INTERNAL_TYPE,1,0,0,3535,357,0.01,0,0,0,357,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UMC,1,MANAGEMENT_TYPE,0,0,0,23458,357,0.04,0,43,35115,357,1.29
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,0,EXTERNAL_TYPE,0,0,24829,29782760,358,352.36,0,24415,22585490,358,353.37
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,0,EXTERNAL_TYPE,1,0,22736,28649472,358,735.13,0,22301,21650284,358,740.66
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,0,INTERNAL_TYPE,0,0,28,152241,358,0.62,0,50,202408,358,1.35
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,1,EXTERNAL_TYPE,0,0,24704,28729046,358,330.16,0,24375,22873175,358,332.45
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,1,EXTERNAL_TYPE,1,0,26912,31648782,358,783.57,0,26552,25128203,358,791.07
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,1,INTERNAL_TYPE,0,0,28,157813,358,0.48,0,53,211473,358,1.34
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UIC,0,EXTERNAL_TYPE,0,0,26,136518,358,0.12,0,16,122194,358,0.08
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UIC,0,EXTERNAL_TYPE,1,0,0,2256,358,0.01,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UIC,0,INTERNAL_TYPE,0,0,51,285715,358,0.27,0,43,221016,358,0.24
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UIC,0,INTERNAL_TYPE,1,0,0,2248,358,0.01,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UMC,1,INTERNAL_TYPE,0,0,175,1090962,358,2.73,0,157,1127588,358,2.68
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UMC,1,INTERNAL_TYPE,1,0,0,3316,358,0.03,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UMC,1,MANAGEMENT_TYPE,0,0,0,19973,358,0.02,0,30,30588,358,0.85
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,0,EXTERNAL_TYPE,0,0,33737,40130498,358,408.63,0,33298,31899492,358,410.61
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,0,EXTERNAL_TYPE,1,0,73671,74724616,358,2384.12,0,73378,64683538,358,2388.88
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,0,INTERNAL_TYPE,0,0,24,140777,358,0.52,0,44,182360,358,1.22
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,1,EXTERNAL_TYPE,0,0,48345,53159435,358,2963.61,0,47994,44370458,358,3017.6
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,1,EXTERNAL_TYPE,1,0,59191,61112351,358,693.82,0,58888,51773611,358,700.23
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,1,INTERNAL_TYPE,0,0,24,143780,358,0.47,0,44,182426,358,1.27
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,1,INTERNAL_TYPE,1,0,0,2844,358,0.02,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UIC,0,EXTERNAL_TYPE,0,0,0,23,358,0,0,0,14,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UIC,0,EXTERNAL_TYPE,1,0,0,8,358,0,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UIC,0,INTERNAL_TYPE,0,0,23,92827,358,0.31,0,12,79619,358,0.33
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UIC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UMC,1,INTERNAL_TYPE,0,0,148,1048768,358,2.83,0,150,1112315,358,2.46
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UMC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UMC,1,MANAGEMENT_TYPE,0,0,0,12284,358,0.01,0,0,19702,358,0.04
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,0,EXTERNAL_TYPE,0,0,92,1103106,358,0.24,0,0,10,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,0,EXTERNAL_TYPE,1,0,92,1103222,358,0.23,0,0,8,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,0,INTERNAL_TYPE,0,0,8,77082,358,0.21,0,16,80301,358,0.2
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,1,EXTERNAL_TYPE,0,0,100,1202257,358,0.27,0,0,10,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,1,EXTERNAL_TYPE,1,0,100,1202238,358,0.26,0,0,10,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,1,INTERNAL_TYPE,0,0,8,77093,358,0.35,0,16,80333,358,0.32
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,0,EXTERNAL_TYPE,0,0,0,22,358,0,0,0,14,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,0,EXTERNAL_TYPE,1,0,0,9,358,0,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,0,INTERNAL_TYPE,0,0,40,109486,358,0.27,0,12,83299,358,0.18
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,1,EXTERNAL_TYPE,0,0,4238,23913808,358,11.16,0,3283,24863316,358,8.56
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,1,EXTERNAL_TYPE,1,0,0,3536,358,0.02,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,1,INTERNAL_TYPE,0,0,4715,32569514,358,12.47,0,4975,22180309,358,13.31
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,1,INTERNAL_TYPE,1,0,0,3528,358,0.02,0,0,0,358,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UMC,1,INTERNAL_TYPE,0,0,5012,7350125,716,43.1,0,441,2651192,716,17.6
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UMC,1,INTERNAL_TYPE,1,0,0,0,716,0,0,0,0,716,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UMC,1,MANAGEMENT_TYPE,0,0,53,673093,716,0.24,0,8879,2178171,716,30.54
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,0,EXTERNAL_TYPE,0,0,1500744,1597095413,714,4816.85,0,1498797,1412568821,714,4916.81
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,0,EXTERNAL_TYPE,1,0,1382973,1482789386,714,4130.32,0,1379668,1301907786,714,4119.69
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,0,INTERNAL_TYPE,0,0,844,3562880,714,2.68,0,1789,6796130,714,7.55
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,0,INTERNAL_TYPE,1,0,0,3476,714,0.01,0,0,0,714,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,1,EXTERNAL_TYPE,0,0,1427156,1527934975,716,5158.08,0,1424559,1345991608,716,5195.24
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,1,EXTERNAL_TYPE,1,0,1428891,1530994403,716,4517.44,0,1426103,1347121100,716,4535.33
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,1,INTERNAL_TYPE,0,0,859,3615089,716,2.61,0,1819,6896337,716,5.75
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,1,INTERNAL_TYPE,1,0,0,3493,716,0.01,0,0,0,716,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,2,EXTERNAL_TYPE,0,0,1341087,1453675791,714,4042.58,0,1335771,1272143585,714,4030.54
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,2,EXTERNAL_TYPE,1,0,1356098,1460763621,714,4605,0,1354625,1281836975,714,4540.72
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,2,INTERNAL_TYPE,0,0,851,3574057,714,2.62,0,1799,6814244,714,5.77
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,2,INTERNAL_TYPE,1,0,0,2971,714,0.01,0,0,0,714,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,3,EXTERNAL_TYPE,0,0,1415413,1525115985,716,4586.68,0,1412154,1340332371,716,4581.91
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,3,EXTERNAL_TYPE,1,0,1405707,1499864652,716,4405.68,0,1403232,1320739332,716,4447.69
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,3,INTERNAL_TYPE,0,0,867,3653383,716,2.73,0,1836,6953825,716,6.21
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,3,INTERNAL_TYPE,1,0,0,2812,716,0.01,0,0,0,716,0
09/27/2025,11,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,4,EXTERNAL_TYPE,0,0,1332833,1429929920,715,4302.94,0,1329729,1253863744,715,4297.96
