Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'AUPFVMInterface.InErrors_VM_AUPF','AUPFVMInterface.InOctets_VM_AUPF','AUPFVMInterface.InPkts_VM_AUPF','AUPFVMInterface.InThruPeakCnt_VM_AUPF','AUPFVMInterface.InThruPeak_VM_AUPF','AUPFVMInterface.OutErrors_VM_AUPF','AUPFVMInterface.OutOctets_VM_AUPF','AUPFVMInterface.OutPkts_VM_AUPF','AUPFVMInterface.OutThruPeakCnt_VM_AUPF','AUPFVMInterface.OutThruPeak_VM_AUPF'
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,35,173797,358,0.16,0,23,163818,358,0.11
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00-01-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,2284,358,0.01,0,0,0,358,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,60,351582,358,0.36,0,55,270434,358,0.3
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UIC-00-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,2275,358,0.01,0,0,0,358,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,188,1114811,358,3.65,0,159,1138658,358,2.62
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,3486,358,0.01,0,0,0,358,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UMC-01-00-MANAGEMENT,2025-09-27T12:00:00-04:00,3600,0,0,24360,358,0.04,0,46,36373,358,3.24
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,25226,30877950,358,314.72,0,24760,23394954,358,315.78
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00-01-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,24189,30229717,358,359.93,0,23730,22883132,358,360.72
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00-00-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,28,158445,358,0.48,0,52,212895,358,1.05
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-00-01-INTERNAL,2025-09-27T12:00:00-04:00,3600,0,0,0,358,0,0,0,0,358,0
070,Upstate New York,VCP Edge 1.x,NR,,HNRT,AUPF-UPC-01-00-EXTERNAL,2025-09-27T12:00:00-04:00,3600,0,22234,27034264,357,409.27,0,21880,20963319,357,414.48
