DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,12.65,6.57,2.46,2.47,2.46,41.25,41.28,41.23,14851.85,886.74,2634,0,0,2.9,33.19
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,9.36,2.45,0.67,0.68,0.67,7.69,7.72,7.68,2769.06,241.5,1242.6,0,0,17.99,23.5
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.92,1.09,12.87,12.88,12.87,85.31,85.33,85.3,30712.74,4634.46,481.25,0,0,21.57,83.7
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,10.36,6.84,2.47,2.47,2.46,41.69,41.71,41.67,15008.87,888.68,2644.67,0,0,2.79,7.08
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,12.81,3.15,0.73,0.73,0.72,8.6,8.63,8.59,3097.09,261.21,1447.09,0,0,21.52,35.36
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,2.09,1.11,12.87,12.88,12.87,85.53,85.6,85.51,30789.79,4633.09,510.46,0,0,34.1,53.78
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,6.45,5.95,2.33,2.33,2.32,40.65,40.66,40.63,14632.16,838.43,2216.71,0,0,0.58,0.48
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,3.17,0.91,0.46,0.46,0.46,6.58,6.58,6.57,2367.67,166.63,420.01,0,0,1.41,1.39
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,1.26,0.58,12.81,12.82,12.81,84.17,84.18,84.16,30301.44,4612.84,279.95,0,0,0.54,0.57
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95,36.93,2.94,2.45,2.47,2.43,37.89,38.72,37.05,27278.01,1763.69,10040.16,0,0,125.78,141.96
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,23.58,1.09,1.69,2.11,1.29,18.23,24.7,12.01,13125.52,1213.75,4879.94,0,0,266.53,283.73
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,16.79,0.47,9.92,9.94,9.9,78.33,80.01,76.66,56399.26,7141.7,5205.3,0,0,72.06,4961.34
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13.82,16.63,12.24,9.93,9.93,9.92,79.94,79.95,79.92,28777.41,3573.62,4974.46,0,0,74.75,5552.91
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CPC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.97,0.53,9.86,9.86,9.85,76.62,76.66,76.6,27583.66,3548.31,229.67,0,0,0.26,0.26
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88,21.51,8.95,2.47,2.48,2.46,38.93,38.95,38.91,14013.1,889.01,3554.26,0,0,36.9,78.02
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,4.34,3.15,2.43,2.44,2.43,37.02,37.03,37,13326.78,875.17,1386.69,0,0,1.01,0.63
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,21.02,1.07,1.58,1.86,1.31,15.9,20.05,11.84,11444.8,1135.99,4405.36,0,0,108.64,116.12
09/27/2025,22,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,7.98,5.61,9.93,9.93,9.92,79.85,79.87,79.84,28746.44,3573.13,2559.83,0,0,36.38,684.99
