DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,0,0.5,16777.22,0,20,0,56,1,0,1440,0,0,0,0,48,100,48,48,0
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,0,2.73,174483.05,67108.86,208,80,22067,2369,0.02,720,3,0,16.11,0,1276,99.92,1276,1275,6
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,0,0.72,212231.78,83047.22,253,99,76160,9603,1.18,720,4,0,851.25,0,1420,99.86,1420,1418,2
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,0.01,0.11,56203.67,11744.05,67,14,2665,66,0,720,0,0,0,0,185,100,185,185,1
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,0.01,335.79,1598029.82,180355.07,1905,215,2740510,241219,14.51,3600,37.38,0,52220.64,0,138693,99.95,138693,138617,449
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,0.01,102.88,1699531.98,147639.5,2026,176,2085141,173533,9.65,2160,26.88,0,20850.78,0,110871,99.96,110868,110828,298
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0700011,0.01,0,5872.03,3355.44,7,4,120,7,0,0,0,0,0,0,18,83.33,18,15,1
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0700012,0.02,0,26004.68,18454.94,31,22,362,47,0,0,0,0,0,0,24,100,24,24,0
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0700022,0.01,0.23,168611.02,142606.34,201,170,43003,11322,0,0,0,0,0,0,627,100,627,627,1
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0709002,0.01,124.39,1340499.56,137573.17,1598,164,2542063,236374,0,0,0,0,0,0,126056,99.94,126056,125985,425
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0709004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0709007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0709089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,HNRT,0709099,0,0.55,31876.71,20971.52,38,25,2024,102,0,0,0,0,0,0,107,100,107,107,0
09/27/2025,02,5GNR,Upstate New York,070,Buffalo,ROCH100_HNRT,0700100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,100,26,26,0
Total,*,*,*,*,*,*,*,0.01,567.9,1699531.98,180355.07,2026,215,7514171,674643,4.23,9360,37.38,0,73938.78,0,379351,99.95,379348,379155,1183
