DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
09/27/2025,09,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17,8.02,6.36,2.46,2.47,2.46,41.11,41.14,41.09,14799.4,886.77,2583.69,0,0,2.66,2.95
09/27/2025,09,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,13.76,2.34,0.66,0.66,0.66,7.49,7.52,7.48,2697.43,236.58,1392.74,0,0,15.9,23.45
09/27/2025,09,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.74,0.89,12.87,12.88,12.87,85.17,85.23,85.15,30661.07,4634.34,385.75,0,0,20.03,48.69
09/27/2025,09,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,7.87,6.93,2.47,2.47,2.46,41.55,41.57,41.52,14956.4,888.84,2637.32,0,0,2.61,2.91
09/27/2025,09,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74,18.38,3.07,0.72,0.72,0.71,8.4,8.42,8.38,3023.51,257.76,1707.5,0,0,28.43,35.22
09/27/2025,09,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,2.07,1.07,12.87,12.88,12.87,85.42,85.44,85.41,30752.32,4633.09,511.36,0,0,32.97,50.08
09/27/2025,09,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,6.96,5.91,2.33,2.33,2.32,40.51,40.52,40.49,14581.94,838.12,2219.5,0,0,0.51,0.3
09/27/2025,09,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,9.94,0.94,0.46,0.46,0.46,6.42,6.45,6.41,2310.7,165.79,489.33,0,0,1.67,2.12
09/27/2025,09,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,1.09,0.54,12.81,12.82,12.81,84.08,84.13,84.07,30269.25,4612.63,278.78,0,0,0.26,0.3
09/27/2025,09,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,37.09,2.91,2.45,2.47,2.43,37.72,38.57,36.88,27160.97,1763.64,13030.39,0,0,152.53,134.11
