DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,0,0.48,21810.38,9227.47,26,11,144,17,0,1440,0,0,0,0,53,100,53,53,0
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,0.01,3.63,483183.82,59559.12,576,71,31950,2720,0.1,720,3,0,75.13,0,1641,99.94,1641,1640,7
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,0,5.39,281857.23,80530.64,336,96,88843,5165,1.34,720,12.75,0,967.61,0,1743,99.94,1743,1742,6
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,0.01,3.13,223975.83,93952.41,267,112,3748,404,0,720,0,0,0,0,331,100,331,331,0
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,0.05,420.31,1792645.53,166933.3,2137,199,3311472,297306,17.16,3600,44.38,0,61778.41,0,148425,99.95,148424,148346,635
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0709003,0.03,288.78,1759091.1,182871.65,2097,218,2528798,214891,11.42,2160,30.88,0,24669.29,0,122332,99.97,122330,122291,444
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700011,0.04,0,15099.49,6710.89,18,8,166,36,0,0,0,0,0,0,34,100,34,34,0
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700012,0.03,0,39426.46,33554.43,47,40,1270,274,0,0,0,0,0,0,28,100,28,28,0
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700022,0,0.55,156028.11,60397.98,186,72,46587,10369,0,0,0,0,0,0,586,100,586,586,2
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0709002,0.05,274.25,1661783.24,137573.17,1981,164,3043878,268929,0,0,0,0,0,0,139907,99.94,139906,139827,529
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0709004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0709007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0709089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0709099,0.02,0.01,53687.09,5872.03,64,7,1508,96,0,0,0,0,0,0,72,100,72,72,1
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,ROCH100_HNRT,0700100,0,0,3355.44,0,4,0,7,0,0,0,0,0,0,0,17,94.12,17,16,0
Total,*,*,*,*,*,*,*,0.02,996.53,1792645.53,182871.65,2137,218,9058371,800207,5,9360,44.38,0,87490.44,0,415169,99.95,415165,414966,1624
