DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
09/27/2025,04,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,4.15,2.92,2.44,2.45,2.42,37,37.28,36.72,26641.42,1755.62,2463.25,0,0,0.76,1
09/27/2025,04,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,2.94,1.01,1.28,1.28,1.28,11.38,11.41,11.35,4094.3,461.4,464.12,0,0,2.57,2.9
09/27/2025,04,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,6.93,1.13,1.29,1.29,1.29,12.04,12.08,12.01,4332.74,464.07,731.11,0,0,4.23,6.41
09/27/2025,04,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,1.03,0.58,9.92,9.93,9.91,77.32,78.09,76.55,55670.67,7140.47,514.3,0,0,2.89,2.4
09/27/2025,04,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.28,0.54,9.87,9.87,9.85,77.31,78.15,76.47,55662.65,7100.77,554.59,0,0,2.67,3.5
09/27/2025,04,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,7.44,6.28,2.46,2.47,2.46,41,41.03,40.98,14761.24,886.57,2525.66,0,0,1.99,1.34
09/27/2025,04,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,7.37,2.29,0.66,0.66,0.66,7.29,7.31,7.27,2623.9,236.71,1135.44,0,0,12.11,23.42
09/27/2025,04,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,1.35,0.7,12.88,12.88,12.87,85.08,85.1,85.07,30629.93,4635.5,291.5,0,0,20.2,16.72
09/27/2025,04,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19,7.8,6.83,2.47,2.47,2.46,41.44,41.54,41.41,14917.37,888.22,2589.43,0,0,2.83,2.3
09/27/2025,04,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,8.4,3.12,0.72,0.72,0.72,8.07,8.11,8.03,2906.41,258.21,1340.75,0,0,26.58,33.03
