DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,PORTTYPE,PORTID,InErrors_VM_AUPF,InOctets_VM_AUPF,InPkts_VM_AUPF,InThruPeakCnt_VM_AUPF,InThruPeak_VM_AUPF,OutErrors_VM_AUPF,OutOctets_VM_AUPF,OutPkts_VM_AUPF,OutThruPeakCnt_VM_AUPF,OutThruPeak_VM_AUPF
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UIC,0,EXTERNAL_TYPE,0,0,22,115717,359,0.12,0,14,107995,359,0.09
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UIC,0,EXTERNAL_TYPE,1,0,0,2595,359,0.01,0,0,0,359,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UIC,0,INTERNAL_TYPE,0,0,47,257180,359,0.32,0,39,199564,359,0.26
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UIC,0,INTERNAL_TYPE,1,0,0,2585,359,0.01,0,0,0,359,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UMC,1,INTERNAL_TYPE,0,0,175,1099127,358,2.71,0,158,1138110,358,2.71
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UMC,1,INTERNAL_TYPE,1,0,0,3538,358,0.01,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UMC,1,MANAGEMENT_TYPE,0,0,0,20301,358,0.05,0,32,31051,358,2.75
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,0,EXTERNAL_TYPE,0,0,28129,32549594,358,371.91,0,27715,25844154,358,379.19
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,0,EXTERNAL_TYPE,1,0,26416,31768623,358,423.35,0,25949,24762148,358,432.49
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,0,INTERNAL_TYPE,0,0,22,129380,358,0.39,0,41,164202,358,0.68
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,1,EXTERNAL_TYPE,0,0,32777,33990490,358,377.36,0,32540,28826379,358,380.32
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,1,EXTERNAL_TYPE,1,0,26129,30376425,358,699.27,0,25787,24898508,358,743.12
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,1,INTERNAL_TYPE,0,0,24,134237,358,0.48,0,44,172280,358,1.07
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,UPC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UIC,0,EXTERNAL_TYPE,0,0,13,73377,358,0.08,0,8,60966,358,0.06
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UIC,0,EXTERNAL_TYPE,1,0,0,2255,358,0.01,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UIC,0,INTERNAL_TYPE,0,0,37,188272,358,0.24,0,29,147874,358,0.2
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UIC,0,INTERNAL_TYPE,1,0,0,2248,358,0.01,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UMC,1,INTERNAL_TYPE,0,0,166,1088067,358,2.82,0,158,1137978,358,2.7
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UMC,1,INTERNAL_TYPE,1,0,0,3740,358,0.03,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UMC,1,MANAGEMENT_TYPE,0,0,0,16735,358,0.02,0,19,26338,358,0.98
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,0,EXTERNAL_TYPE,0,0,68594,70702725,358,451.06,0,68397,62236149,358,455.04
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,0,EXTERNAL_TYPE,1,0,62965,61094125,358,511.19,0,62846,53249347,358,513.52
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,0,INTERNAL_TYPE,0,0,17,110121,358,0.53,0,33,133166,358,0.63
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,1,EXTERNAL_TYPE,0,0,76844,78022401,358,1146.3,0,76654,68352312,358,1156.76
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,1,EXTERNAL_TYPE,1,0,56325,55339652,358,481.95,0,56194,48081646,358,485.42
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,1,INTERNAL_TYPE,0,0,17,113594,358,0.47,0,32,133922,358,0.62
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700021,UPC,1,INTERNAL_TYPE,1,0,0,2850,358,0.02,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UIC,0,EXTERNAL_TYPE,0,0,0,23,358,0,0,0,14,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UIC,0,EXTERNAL_TYPE,1,0,0,7,358,0,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UIC,0,INTERNAL_TYPE,0,0,22,92791,358,0.38,0,12,79615,358,0.15
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UIC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UMC,1,INTERNAL_TYPE,0,0,149,1057996,358,2.95,0,152,1124657,358,2.65
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UMC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UMC,1,MANAGEMENT_TYPE,0,0,0,12477,358,0.03,0,1,19919,358,0.52
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,0,EXTERNAL_TYPE,0,0,92,1102297,358,0.24,0,0,10,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,0,EXTERNAL_TYPE,1,0,92,1102410,358,0.24,0,0,10,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,0,INTERNAL_TYPE,0,0,8,77093,358,0.29,0,16,80342,358,0.26
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,1,EXTERNAL_TYPE,0,0,100,1194847,358,0.26,0,0,12,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,1,EXTERNAL_TYPE,1,0,100,1194854,358,0.26,0,0,12,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,1,INTERNAL_TYPE,0,0,8,77149,358,0.33,0,16,80407,358,0.29
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0700023,UPC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,0,EXTERNAL_TYPE,0,0,0,25,358,0,0,0,16,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,0,EXTERNAL_TYPE,1,0,0,11,358,0,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,0,INTERNAL_TYPE,0,0,40,109244,358,0.28,0,12,83102,358,0.18
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,1,EXTERNAL_TYPE,0,0,1921,10728859,357,5.61,0,1499,11165664,357,4.29
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,1,EXTERNAL_TYPE,1,0,0,3522,357,0.02,0,0,0,357,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,1,INTERNAL_TYPE,0,0,2261,15676955,357,6.7,0,2320,10449098,357,7.3
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UIC,1,INTERNAL_TYPE,1,0,0,3507,357,0.02,0,0,0,357,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UMC,1,INTERNAL_TYPE,0,0,2763,4954656,714,35.69,0,434,2651416,714,16.48
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UMC,1,INTERNAL_TYPE,1,0,0,0,714,0,0,0,0,714,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UMC,1,MANAGEMENT_TYPE,0,0,27,353741,714,0.16,0,4583,1455975,714,20.83
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,0,EXTERNAL_TYPE,0,0,1269555,1306109671,715,4502.59,0,1268151,1161884923,715,4502.12
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,0,EXTERNAL_TYPE,1,0,1340765,1374872122,715,4554.57,0,1339450,1225650308,715,4564.68
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,0,INTERNAL_TYPE,0,0,399,1736035,715,1.65,0,905,3341410,715,5.28
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,0,INTERNAL_TYPE,1,0,0,3475,715,0.01,0,0,0,715,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,1,EXTERNAL_TYPE,0,0,1325535,1381478593,714,4169.81,0,1324457,1235849642,714,4184.31
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,1,EXTERNAL_TYPE,1,0,1516926,1539124214,714,5004.3,0,1517310,1390629864,714,5016.44
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,1,INTERNAL_TYPE,0,0,403,1742507,714,1.46,0,911,3356261,714,3.89
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,1,INTERNAL_TYPE,1,0,0,3492,714,0.01,0,0,0,714,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,2,EXTERNAL_TYPE,0,0,1397498,1416272567,715,4843.27,0,1397384,1267398550,715,4839.45
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,2,EXTERNAL_TYPE,1,0,1279619,1343878314,715,4268.89,0,1277230,1194698700,715,4282.31
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,2,INTERNAL_TYPE,0,0,404,1741481,715,1.47,0,914,3354157,715,3.68
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,2,INTERNAL_TYPE,1,0,0,2966,715,0.01,0,0,0,715,0
09/27/2025,23,5GNR,Upstate New York,070,Buffalo,HNRT,0709001,UPC,3,EXTERNAL_TYPE,0,0,1445104,1466131225,715,5123.06,0,1444767,1317324794,715,5166.95
