DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,11,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,372.82,63,12,12,100,21,39,39,100,36.67,100,144,144,0.71,1,141,86.19,15.54,2.76,1.23,0.57,0.15,100,100,63,144,3474.96,3464.44
09/27/2025,11,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,1.64,12,10,10,100,4,4,4,100,0.92,100,1,1,0,0,3,9.18,10.46,0.11,0.05,22.14,0.48,100,100,12,1,15.26,15.16
09/27/2025,11,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,99.44,31,17,13,76.47,14,31,31,100,20.46,94.9,93,98,25.93,21,81,41.67,22.8,1.08,0.7,14.89,1.26,100,100,31,98,926.89,924.06
09/27/2025,11,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,378.23,13,15,15,100,7,20,20,100,19.02,95,76,80,17.14,12,70,102.09,14.29,1.6,1.08,1.02,0.1,100,100,13,80,3525.38,3516.09
09/27/2025,11,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,711.16,19,88,88,100,13,604,604,100,45.22,100,958,958,1.1,11,1000,84.68,19.61,2.81,2.46,1.87,0.08,100,100,19,958,6628.52,6610.54
09/27/2025,11,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,1115.3,13,135,134,99.26,10,352,352,100,29.35,99.82,562,563,0.98,5,512,203.88,19.36,1.73,1.58,2.57,0.11,100,100,13,563,10395.36,10368.42
09/27/2025,11,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,229.62,1,17,17,100,3,7,7,100,25.07,98.59,70,71,0,0,76,95.99,4.85,1.23,0.56,0.23,0.08,100,100,1,71,2140.22,2134.45
09/27/2025,11,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,372.47,4,23,23,100,4,8,8,100,15.34,100,68,68,1.64,1,61,174.81,4.23,0.86,0.5,1.04,0.06,100,100,4,68,3471.7,3463.14
09/27/2025,11,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,623.95,21,32,32,100,9,250,250,100,341.23,100,682,682,0.89,6,674,87.39,20.56,3.9,1.68,3.37,0.04,100,100,21,682,5815.66,5799.54
09/27/2025,11,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,188.68,37,32,32,100,15,663,663,100,37.92,99.84,1243,1245,0.32,4,1232,43.38,3.69,2.45,1.02,4.54,0.05,100,100,37,1245,1758.6,1752.89
Total,*,*,*,*,*,*,*,*,*,4093.32,214,381,376,98.69,21,1978,1978,100,571.2,99.67,3897,3910,1.58,61,3850,101.02,12.89,1.85,1.09,2.75,0.14,100,1000.0,214.0,3910.0,38152.55,38048.729999999996
