DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
09/27/2025,22,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0001,01,180.7,52,0,0,NaN,13,23,23,100,27.58,100,5,5,0,0,5,97.04,21.79,1.53,0.56,0.27,0.22,100,100,52,5,1684.22,1679
09/27/2025,22,5GNR,Florida,143,Jacksonville,5GNB_NOJACKSONVILLE_VZ_STORE,1431253,0000,0002,01,0.44,8,0,0,NaN,2,0,0,NaN,0.26,NaN,0,0,NaN,0,0,16.45,6.82,0.05,0.01,0,0.57,100,100,8,0,4.07,4.04
09/27/2025,22,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0001,01,71.86,21,0,0,NaN,8,11,11,100,13.45,100,67,67,32.69,17,52,51.46,17.67,0.91,0.41,13.77,0.73,100,100,21,67,669.79,667.64
09/27/2025,22,5GNR,Florida,143,Jacksonville,5GNB_ORANGEPARK_VZ_STORE,1431255,0000,0002,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,22,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0001,01,71.41,17,0,0,NaN,8,905,905,100,8.21,100,1072,1072,0.19,2,1071,97.18,17.32,0.51,0.2,1.14,0,100,100,17,1072,665.59,663.65
09/27/2025,22,5GNR,Florida,143,Jacksonville,5GNB_STJOHNJAX_VZ_STORE,1431257,0000,0002,01,0.01,0,0,0,NaN,1,6,6,100,0,100,7,7,0,0,7,2.39,3.15,0,0,11.24,0,100,100,0,7,0.06,0.06
09/27/2025,22,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0001,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,22,5GNR,Florida,143,Jacksonville,5GNB_ST_JOHNS_TOWN_CTR_APPLE,1431076,0000,0002,01,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,0,0,NaN,NaN,0,0,NaN,NaN,100,100,0,0,0,0
09/27/2025,22,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0001,01,45.81,10,3,3,100,6,224,224,100,7.93,100,603,603,0.67,4,599,37.4,4.17,0.45,0.29,19.36,0.04,100,100,10,603,427.02,425.7
09/27/2025,22,5GNR,Florida,143,Jacksonville,5GNB_TALLAHASSEE_VZ_STORE,1431259,0000,0002,01,46.06,16,5,5,100,8,353,353,100,8.91,100,783,783,0.39,3,777,28.09,3.63,0.59,0.38,19.92,0.02,100,100,16,783,429.31,427.8
Total,*,*,*,*,*,*,*,*,*,*,416.28,124,8,8,100,13,1522,1522,100,66.35,100,2537,2537,1.04,26,2511,60.43,9.6,0.4,0.18,8.83,0.26,100,1000.0,124.0,2537.0,3880.06,3867.89
