DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
09/27/2025,12,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0001,3,1514,0.2,0.46,44,1538,2.86,28807.16,2736.25,70,98.9,8.91,74.6,45.98,116.58,1.67,87.01,20.38,92929,20208872,230457.26,2648.64,1514,1511,100,116.56,2.86,27662.43,23334.44,2754.75,103.04,1.78,0,12277.87,410.11,12.28,0.6,122,3.06,2.23,0.23,10976.54,1813.91,7.64,1.8,24,12,13,4,225,0,206,44.38,14.89,0,0,2,0,0,7,1,0,0,7,0,0.13,0,50.87,NaN,0,0,1,1.27,NaN,-114.05,0
09/27/2025,12,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0002,1,1934,0.05,0.31,218,1925,11.32,19605.06,1838.9,57,96.64,13.84,56.32,32.48,90,1.9,83.83,18.14,71747,22867616,156840.5,1871.01,1934,1933,100,90.33,11.32,18988.92,10176.43,1852.64,88.23,7.01,0.3,70.69,192,3.76,6.33,61.01,12.21,2.43,0,10084.06,1006.14,11.5,1.25,12,6,8,23,328,1,333,0.37,10.36,0,0,11,0,0,18,2,0,0,18,0,0.7,0.24,25.5,0.64,0,0,2,3.25,0,-114.43,0
09/27/2025,12,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,0001,0003,3,1438,0.21,0.27,51,1429,3.57,15028.58,3232.42,45,98.83,15.31,50.85,25.12,127.33,5.51,83.09,35.32,31142,11488182,120228.66,1446.99,1438,1435,100,127.38,3.57,14775.74,8800.29,3233.36,127.22,0.8,0,169.72,26.09,8.12,3.84,128.8,4.16,3.86,0.26,8619.98,861.69,14.11,1.65,13,6.5,8,2,250,0,272,1.15,0.81,NaN,0,0,0,0,9,1,0,0,9,0,0.01,0,NaN,NaN,NaN,0,1,1.88,NaN,-114.46,0
09/27/2025,12,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0001,0,104,0,0.04,1,107,0.93,816.44,304.04,3,99.63,13.68,12.99,13.48,54.11,5.68,13.46,5.2,104,254904,6531.49,485.13,104,104,50,55.45,0.93,1254.31,91.48,284.38,NaN,NaN,NaN,0,0,NaN,NaN,29.21,0.93,0,0,91.22,12.91,6.07,1.04,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,NaN,0.04,0,NaN,NaN,0,0,1,1.56,NaN,-118.26,0
09/27/2025,12,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0002,0,16,0,0.11,0,20,0,1063.11,107.03,2,98.19,22.31,9.71,15.97,37.17,1.51,14.79,2.45,32,30464,8504.91,575.06,16,16,50,37.48,0,1328.96,61.82,93.81,NaN,NaN,NaN,0,0,NaN,NaN,29.86,0,22.22,0,61.2,5.84,9.93,2.99,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,4,1,0,0,4,0,0,0,NaN,NaN,NaN,0,1,NaN,0,-119.4,0
09/27/2025,12,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0003,0,16,0,0.24,0,18,0,297.67,25.68,1,98.3,9.28,2.43,5.66,36.27,2.65,11.68,2.35,32,13504,2381.36,203.92,16,16,50,36.94,0,233.76,5.22,22.93,NaN,NaN,NaN,0,0,NaN,NaN,17.51,0,0,0,5.22,1.13,9.09,0.46,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,1,0,0,1,50,0,0,NaN,NaN,NaN,0,1,NaN,NaN,-119.09,0
09/27/2025,12,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,0,916,0,6.61,16,856,1.87,16794.97,995.32,36,99.05,4.55,15.84,20.29,98.57,3.93,70.75,9.97,466244,7050452,134359.79,1899.11,916,916,100,98.85,1.87,16244.96,12633.36,995.21,293.3,0,0,8188.24,329.21,2.35,12.31,61.15,2.23,0.11,0,4428.77,452.64,7.2,2.53,11,3.67,7,0,138,0,145,50.4,33.08,0,0,15,0,0,14,2,0,0,14,0,15.1,1.64,66.61,12.61,0,0,2,9.92,0,-116.43,0
09/27/2025,12,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0002,0,2307,0,2.53,46,2320,1.98,23112.02,2486.5,68,98.5,15.6,40.74,40.42,43.25,6.18,48.88,9.69,1141965,45085701,184896.17,3782.91,2307,2307,100,44.12,1.98,22497.77,17805.48,2485.46,47.02,1.37,0,5025.22,248.44,7.05,10.32,41.73,2.01,0.52,0,12700.96,1791.41,18.6,6.8,10,3.33,4,1,73,0,75,22.34,10,0,0,7,0,0,8,1,0,0,8,0,16.18,0,90,NaN,0,0,1,5.6,0,-115.46,0
09/27/2025,12,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0003,0,2129,0,3.86,32,1895,1.69,45155.88,2525.93,85,99.27,6.22,35.78,43,89.51,1.57,89.77,11.21,1609524,41730529,361247.05,4024.34,2129,2129,100,89.87,1.69,44178.61,37881.42,2525.42,154.15,1.22,0,25430.44,626.74,3.44,2.29,53.32,1.76,0.04,0,12266.41,1506.15,10.41,1.34,28,9.33,18,3,246,0,242,57.56,24.82,0,0,4,0,0,10,2,0,0,10,0,0.45,0,93.32,NaN,0,0,2,5.71,NaN,-115.89,0
09/27/2025,12,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1439028,0001,0001,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
