DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
09/27/2025,21,5GNR,Florida,143,Jacksonville,11_E_FORSYTH,1437221,8,4963,0.16,0.25,298,4934,6.04,107910.4,10574.67,190,97.11,22.24,72.27,55.29,68.37,2.6,90.35,27.1,448621,183020551,863283.16,9554.44,4963,4955,100,68.38,6.04,106277.28,84114.01,10582.56,75.98,5.56,0,47010.7,1028.4,32.22,1.18,46.85,6.12,3.12,0.19,36814.13,5173.21,15.88,1.78,49,8.17,14,45,809,0,834,44.23,9.72,0,0,57,0.85,1,117,4,0.85,1,117,1.32,61.64,25.81,85.01,6.9,0,0.85,4,2.77,0,23.65,36846,8715,-114.16,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0,164,0,0.06,5,156,3.21,2300.95,423.74,7,97.59,14.69,11.48,12.47,29.46,2.39,13.67,2.73,492,860016,18407.62,1346.74,164,164,50,30.03,3.21,2514,447.76,406.77,NaN,NaN,NaN,0,0,NaN,NaN,20.13,3.21,8.06,0,445.74,52.97,5.99,0.46,0,0,0,0,0,0,0,0,0,0,0,11,0,0,21,1,0,0,21,11.11,11.28,0.09,51.22,1.63,0,0,1,3.65,NaN,10.78,5241,565,-118.38,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0,2476,0,3.76,39,2344,1.66,77474.32,4657.76,123,98.85,5.72,26.92,34.6,67.64,3.64,63.79,9.15,2146692,57111416,619794.56,9716.3,2476,2476,100,67.96,1.66,75698,59734.15,4652.18,102.02,1.59,0,42490.67,1994.02,2.34,5.38,42.88,1.68,0.13,0,17010.53,1972.68,10.28,2.84,43,4.78,14,7,441,0,438,56.13,42.86,0,0,19,0,0,20,2,0,0,20,0,2.97,0.02,68.35,26.29,0,0,2,1.71,NaN,48.07,22199,10670,-116.01,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1439028,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
09/27/2025,21,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1437396,2,3548,0.06,2.4,57,3412,1.67,133155.18,9295.81,167,99.06,5.92,56.15,44.68,102.62,3.7,137.96,30.66,2338434,97232940,1065241.42,7721.41,3548,3546,100,102.65,1.67,130253.91,82236.3,9303.03,140.02,0,0,45573.74,1254.55,3.06,4.26,86.57,2.09,0.49,0.07,36240.4,3416.11,11.5,1.82,47,7.83,11,0,685,0,684,34.99,13.49,0,0,24,0,0,36,3,0,0,36,0,19.8,1.28,241.03,4.58,0,0,3,1.55,0,38.41,26761,10279,-114.83,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,4G5G_AIRPORT_INDUSTRIAL_PARK,1439396,0,68,0,2.57,0,61,0,751.87,85.05,4,99.1,19.04,2.42,3.1,75.42,1.51,17.99,2.6,3332,129540,6014.94,334.3,68,68,100,77.07,0,900.38,90.32,71.39,NaN,0,0,0.02,0.03,2.15,1.53,31.16,0,16.67,0,88.04,5.44,7.91,1.01,1,0.33,1,0,1,0,1,0,0.04,0,0,4,0,0,7,1,0,0,7,0,1.06,0.34,34.91,4.08,0,0,1,1.9,NaN,25.22,1856,468,-116.65,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,4G5G_ALACHUA,1437648,1,3601,0.03,3.01,66,3538,1.87,151974.09,7969.81,180,97.81,5.55,60.28,42.07,81.91,1.54,125.42,18.36,2082018,69204018,1215792.74,9694.02,3601,3600,50,81.86,1.87,149927.01,121380.88,7970.4,106.56,0.68,0,84343.94,4211.8,3.88,2.35,53.9,2.57,0.03,0.04,36716.39,2621.65,9.09,0.88,85,10.62,24,9,1323,0,1335,56.26,52.84,0,0,8,0,0,8,1,0,0,8,NaN,0.07,0.8,27.66,9.29,0,0,1,1.47,NaN,35.3,18645,6581,-115.11,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,4G5G_ALLEY_KATZ,1437657,2,5208,0.04,1.66,131,5130,2.55,234676.65,13436.23,261,97.63,16.68,62.2,57.34,42.72,1.43,189.48,40,3639722,218798496,1877413.19,9908.3,5208,5206,100,42.71,2.55,233014.55,169070.7,13439.09,52.19,2.61,0,117287.68,3232.27,13.08,1.03,20.66,2.53,0.05,0.06,51018.69,4783.42,31.48,0.98,118,19.67,40,44,1686,0,1770,50.33,24.05,0,0,37,0,0,52,2,0,0,52,0,24.05,2.73,118.94,2.81,0,0,2,1.8,0,35.24,41329,14564,-114.43,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,4G5G_ALLTEL_CORNER_DELI,1437285,3,6048,0.05,4.92,145,5993,2.42,308900.19,12146.12,275,97.1,9.07,26.42,52.44,63.69,1.62,167.81,24.32,9715533,197443008,2471201.54,14725.82,6048,6045,100,63.78,2.42,306701.6,221001.56,12128.1,65.35,0.41,0,186099.5,5030.39,5.93,1.31,28.07,3.56,0.72,0.08,34162.97,2876.32,18.54,1,152,16.89,34,9,2173,0,2176,60.68,41.48,0,0,6,0,0,7,1,0,0,7,0,0.22,0.11,21.97,2.07,0,0,1,1.37,NaN,32.02,31055,9944,-115.03,0
09/27/2025,21,5GNR,Florida,143,Jacksonville,4G5G_ALLTEL_LAKEWOOD,1437078,0,3075,0,0.25,45,3089,1.46,189718.04,11968.21,142,97.62,4.76,21.75,38.84,93.82,3.86,139.15,29.12,110700,44950350,1517744.34,10907.27,3075,3075,100,94.05,1.46,187419.66,94664.86,11962.7,87.84,0.13,0,75497.31,5113.91,4,6.98,57.11,2.7,2.07,0,18795.29,1239.26,18.46,1.2,77,8.56,22,2,1493,0,1480,40.28,42.75,0,0,1,0,0,7,1,0,0,7,0,0.09,0,8.87,NaN,0,0,1,2.59,NaN,27.26,14582,3975,-115.23,0
