DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%,pmHoExeAttOutIntraGnb,pmRadioRaCbFailMsg1Ooc,EBSN_SA_NSA_DRB_Volume
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0001,04,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0001,08,0,3,0,0.86,0,4,0,140.28,10.71,1,99.46,19.28,1.48,1.95,33.5,1.28,15.98,1.6,12,1401,1122.24,70.23,3,3,100,33.69,0,161.15,2.2,10.68,NaN,NaN,NaN,0,0,NaN,NaN,45.73,0,0,0,2.17,0.04,5.36,0.75,0,0,0,0,0,0,0,0,0,17.06,463,79,-119.06,0,6,4,160.39
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0002,04,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0002,08,0,3,0,0.28,0,5,0,311.53,32.81,1,94.53,25.08,3.48,5.48,31.31,2.09,12.63,2.1,9,3189,2492.23,197.34,3,3,100,31.5,0,384.93,0.6,31.81,NaN,NaN,NaN,0,0,NaN,NaN,14.68,0,NaN,0,0.6,0.08,12.61,0.52,0,0,0,0,0,0,0,0,0,14.43,1060,153,-120.24,0,10,3,340.45
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0003,04,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_11_E_FORSYTH,1439221,0001,0003,08,0,4,0,0.67,0,2,0,214.94,18.14,1,99.49,31.1,1.18,2.3,86.57,4.89,20.79,3.41,8,1192,1719.53,82.72,4,4,100,88.35,0,353.97,0.69,17.33,NaN,NaN,NaN,0,0,NaN,NaN,10.54,0,0,0,0.69,0.59,3.25,2.33,0,0,0,0,0,0,0,0,0,18.24,296,54,-119.37,0,10,2,347.04
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,08,0,136,0,2.55,3,136,2.21,423.61,80.91,4,98.91,10.23,3.98,6.12,49.88,6.7,15.39,4.52,4216,165648,3388.87,220.24,136,136,100,51.53,2.21,691.61,322.66,81.19,NaN,NaN,NaN,0,0,NaN,NaN,48.92,2.21,5,0,312.25,5.68,9.26,2.86,0,0,0,0,0,0,0,0,0,38.25,1187,454,-120.48,0,27,19,632.54
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,10,0,277,0,7.64,6,295,2.03,6505.02,148.65,14,99.74,2.74,23.62,21.77,311.08,3.17,82.99,6.99,56231,735989,52040.16,627.05,277,277,100,311.13,2.03,6065.21,3794.95,148.34,416.45,1.47,0,2507.36,15.11,3.99,2.74,135.5,2.52,0.29,0,1283.57,69.76,3.23,1.79,6,6,6,2,136,0,134,41.34,10.19,60.68,2454,1489,-115.48,0,83,46,6061.14
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0001,11,0,52,0,8.9,2,39,5.13,184.76,17.69,6,99.11,3.37,2.68,1.19,84.41,6.11,43.21,7.33,1508,16952,1478.06,34.2,52,52,100,84.34,5.13,143.83,143.62,17.69,203.38,4.76,0,33.23,10.63,2.94,16.56,77.31,5.56,0,0,109.85,4.26,3.59,2,3,3,3,1,21,0,21,23.11,60.1,61.28,297,182,-115.48,0,3,6,143.29
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0002,08,0,275,0,0.92,2,247,0.81,2320.8,270.03,11,99.21,7.86,14.42,27.34,62.52,10.35,18.86,4.16,6325,689150,18566.37,984.4,275,275,100,63.89,0.81,3327.82,2889.59,270.24,121.97,0,0,1404.27,213.39,3.88,14.82,46.39,1.25,0.64,0,1412.33,30.58,11,6.59,3,3,3,0,87,0,87,43.35,78.96,33.91,2483,842,-120.4,0,82,2,3240.16
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0002,10,0,253,0,4.66,9,289,3.11,3647.34,194.78,15,98.57,4.21,36.09,19.36,102.79,1.07,52.34,6,36432,781770,29178.75,557.51,253,253,100,103.65,3.11,2605.41,1777.67,194.88,120.66,0,0,751.43,18.62,3.9,2.69,64.05,3.81,0.19,0,1023.64,140.67,4.79,0.98,6,6,6,0,53,0,54,28.92,9.56,54.01,2946,1591,-115.17,0,159,3,2601.63
09/27/2025,06,5GNR,Florida,143,Jacksonville,4G5G_295_BEAVER,1437028,0001,0002,11,0,36,0,6.55,0,22,0,1574.27,25.73,3,99.62,1.63,11.55,5.31,130.48,10.58,82.43,2.47,828,12636,12594.18,152.78,36,36,100,130.64,0,1471.66,1471.41,25.73,188.08,NaN,NaN,1398.45,16.7,1.22,26.11,75.92,0,0,0,72.76,8.93,8.61,10.58,2,2,2,0,0,0,0,95.03,64.92,66.16,328,217,-114.73,0,8,0,1471.46
