DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DUNAME,DU,SECTOR,CARRIER,5GNR_ENDC_Drop%,5GNR_ENDC_Drop_%_num,5GNR_ENDC_Drop_%_den,S5NR_Cell_Availability_%,ErabAddAtt_per_GNB,ErabAddSucc_per_GNB,S5NR_DLMACLayerDataVolume_MB,S5NR_DLPRBUtilization_%,S5NR_DLUserPerceivedTput_Mbps,S5NR_PDCCH_SlotRationBlocking_DL_%,S5NR_PDCCH_SlotRationBlocking_Tot_%,S5NR_PDCCH_SlotRationBlocking_UL_%,S5NR_PUCCH_BLER_%,S5NR_PUCCHAvgSINR_dB,S5NR_PUSCHAvgSINR_dB,S5NR_TotalDLRLCLayerDataVolume_MB,S5NR_TotalERABSetupFailureRate_%,S5NR_TotalULRLCLayerDataVolume_MB,S5NR_ULMACLayerDataVolume_MB,S5NR_ULPRBUtilization_%,S5NR_ULUserPerceivedTput_Mbps,S5NC_DRBDrop_%_SA,S5NC_NRDCAdd_MN_Succ_%_SA,S5NC_NGSetupFailure_%_SA,S5NC_RRCSetupFailure_%_SA,S5NC_EPSFB_IRAT_HO_PrepFailure_%_SA,S5NC_EmergFB_IRAT_HO_Failure_%_SA,S5NC_EPSFB_IRAT_HO_Failure_%_SA,RssiPathAvg_Path0,RssiPathAvg_Path1,RssiPathAvg_Path2,RssiPathAvg_Path3,RssiPathAvg,S5NR_PDCCH_Blocking_Tot_%,S5NC_MaxUENo_SPID125,S5ND_TotalMACDataVolumeDL_MB_SPID125,S5ND_DLUeThru_Mbps_SPID125,S5NC_ERAB_Drop_Rate_FWA_%_num,S5NC_ERAB_Drop_Rate_FWA_%,S5NC_ERABSetupFailureRate%_QCI132,S5NR_TotalERABSetupFailureRate_%_num,S5NR_TotalERABSetupFailureRate_%_den,S5NC_DRBDrop_num_SA,S5NC_DRBDrop_den_SA,S5NC_DRBSetupFail_%_SA,S5NC_DRBSetupFail_num_SA,S5NC_DRBSetupFail_den_SA,S5NR_IntragNBHOFailRate_%,S5NR_IntragNBHOFailRate_den,S5NR_IntragNBHOFailRate_num,S5NR_IntergNBHOFailRate_%,S5NR_IntergNBHOFailRate_den,S5NR_IntergNBHOFailRate_num,S5NR_AvgRRCconnectedUsersPerDU_PerCell,Sum_DLRLCDataVolume_MB
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,MUSIC ART FESTIVAL TEMP 25,3657,45,10,0,0,35,100,28,28,8.03,0.01,525.6,0,0,0.15,0.36,9.17,21.31,6.89,0,0.87,1.33,0.01,0.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-92.06,-92.06,-92.06,-92.06,-92.06,0,0,0,NaN,0,NaN,NaN,0,28,0,0,0,0,1,0,6,0,0,12,0,0.05,8.28
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,MUSIC ART FESTIVAL TEMP 25,3657,45,11,0,0,7,100,7,7,0.98,0,63.2,0,0,2.61,3.28,10,21.93,1,0,0.04,0.05,0,0.29,NaN,NaN,0,NaN,NaN,NaN,NaN,-94.03,-94.01,-94.03,-94.06,-94.05,0.01,0,0,NaN,0,NaN,NaN,0,7,0,0,0,0,1,0,4,0,0,2,0,0,1
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,MUSIC ART FESTIVAL TEMP 25,3657,46,10,3.85,3,78,100,70,70,125.08,0.08,135.99,0,0.04,0.46,0.85,9.21,20.33,123.67,0,19.41,23.24,0.15,8.72,0,NaN,0,0,NaN,NaN,NaN,-91.94,-91.94,-91.94,-91.94,-91.95,0.04,0,0,NaN,0,NaN,NaN,0,70,0,7,0,0,7,0,4,0,2.86,35,1,0.19,126.72
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,ESYR,0709006,MUSIC ART FESTIVAL TEMP 25,3657,46,11,0,0,19,100,17,17,27.37,0.03,410.96,0,0.01,0.47,0.44,10.37,22.71,24.32,0,1.73,2.15,0.02,3.51,0,NaN,NaN,NaN,NaN,NaN,NaN,-93.39,-93.46,-93.5,-93.57,-93.53,0.01,0,0,NaN,0,NaN,NaN,0,17,0,1,NaN,0,0,0,4,0,0,11,0,0.03,24.32
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0080,80,1,2.86,1,35,100,39,39,20,0.08,49.86,0,0,0,0.25,18.59,14.41,9.76,0,4.04,12.35,0.07,8.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.44,-115.31,-115.74,-115.36,-115.71,0,1,12.32,30.76,1,3.33,0,0,39,0,0,NaN,0,0,0,3,0,NaN,0,0,0.94,9.76
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0080,80,2,12.5,1,8,100,8,8,26.16,0.04,75.57,0.01,0.01,0,2.48,17.06,15.24,9.19,0,0.27,1.13,0.01,5.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.45,-115.59,-116.13,-115.52,-115.92,0.01,1,0.04,0,0,0,0,0,8,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.1,9.19
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0080,80,3,0,0,2,100,2,2,0.58,0,12.81,0,0,0,3.51,17.4,13.31,0.03,0,0.03,0.07,0,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.38,-115.75,-115.61,-115.64,-115.84,0,0,0.03,NaN,0,NaN,NaN,0,2,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0.01,0.03
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0081,81,1,0,0,9,100,7,7,77.62,0.25,69.06,0,0,0,0.98,16.47,8.9,75.48,0,2.08,3.73,0.04,2.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.02,-114.63,-115.75,-115.8,-115.55,0,0,0,NaN,0,NaN,NaN,0,7,0,0,NaN,0,0,0,2,0,NaN,0,0,0.11,75.48
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0081,81,2,0,0,1,100,1,1,11.98,0.03,NaN,0,0,0,0,13.79,5.26,0,0,0,0,0,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-116.1,-114.97,-115.99,-115.93,-115.75,0,0,0,NaN,0,NaN,NaN,0,1,0,0,NaN,0,0,NaN,0,0,NaN,0,0,0,0
09/27/2025,01,5GNR,Upstate New York,070,Buffalo,HNRT,0700002,ALLENTOWN-HNRT,0082,82,1,33.33,1,3,100,2,2,0.13,0,39.32,0,0,0,0,18.24,15.16,0.05,0,0.01,0.06,0,3.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-115.9,-115.93,-114.59,-115.92,-115.58,0,0,0,NaN,0,NaN,NaN,0,2,0,0,NaN,0,0,0,1,0,NaN,0,0,0.01,0.05
