DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
10/06/2025,15,ICL 1,N. California,031,Sunnyvale,10TH_JACKSON,0319068,0,286,0,0.38,22,239,9.21,3239.02,397.81,18,97.48,19.96,15.27,22.16,27.18,1.56,10.83,1.93,9438,2496208,25912.2,2393.3,286,286,100,27.87,8.47,5410.28,1510.53,394.44,32.99,0,NaN,3.06,0.26,13.03,1.73,31.7,8.57,0,0,1504.22,125.13,14.96,2.49,1,0.33,1,0,1,0,0,0.06,0.07,-36.36,-4,11,0,0,32,2,0,0,32,0,1.34,0.75,13.6,2.9,0,0,2,2.97,0,30.22,8695,2628,-115.56,0
10/06/2025,15,ICL 1,N. California,031,Sunnyvale,4G5G_10TH_JACKSON,0317068,18,8361,0.22,10.26,726,8105,8.96,209424.76,21466.61,272,99.39,9.31,78.1,62.94,83.33,4.21,154.04,50.9,51898284,506032803,1675398.04,10876.34,8361,8343,50,82.5,8.56,155858.07,153826.83,17635.75,115.71,1.57,0,75926.84,3860.82,7.81,3.2,54.4,13.51,0.48,0.27,42792.52,3296.29,15.08,1.3,122,20.33,26,39,2492,0,2516,48.72,21.89,-46.67,-7,15,0,0,42,2,0,0,42,0,77.59,4.86,88.51,6.81,0,0,2,1.22,NaN,43.32,54433,23579,-112.28,0
10/06/2025,15,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7530,0317530,0,125,0,8.07,1,153,0.65,4331.46,399.05,13,99.89,16.8,7.11,4.52,89.9,4.98,66.52,15.6,20375,252500,34651.71,520.94,125,125,33.33,89.9,0.65,4219.74,2209.6,420.01,85.28,0,0,419.38,16.38,4.12,0.37,64.34,0.7,1.3,0,1789.8,45.56,14.99,1.34,6,1.5,3,0,11,0,30,9.94,3.9,0,0,1,0,0,8,1,0,0,8,0,0.1,0.02,NaN,NaN,0,0,1,1.18,NaN,39.04,1857,725,-116.45,0
10/06/2025,15,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7531,0317531,10,3104,0.32,6.86,38,2827,1.34,25448.29,1995.61,137,99.41,9.56,18.08,9.79,75.24,2.01,60.18,10.22,3889312,56710080,203586.28,3383.15,3104,3094,100,75.17,1.34,24716.96,21310.33,1995.22,203.07,0.18,0,4062.28,347.09,2.07,3.25,69.12,1.64,4.32,0.39,17204.96,1306.4,11.64,1.7,27,2.25,6,1,565,0,561,16.44,17.4,0,0,15,0,0,23,1,0,0,23,0,1.11,1.84,167.31,56.92,0,0,1,1.82,NaN,40.21,17072,6865,-116.29,0
10/06/2025,15,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7532,0317532,0,952,0,6.66,29,926,3.13,15218.05,1142.48,54,97.11,6.32,18.85,10.53,93.61,2.14,66.92,11.22,935816,14056280,121744.37,1819.22,952,952,50,91.23,3.03,12494.11,13450.68,842.37,208.35,0,0,7071,387.82,2.07,16.55,69.67,3.2,0.15,0,4288.78,361.61,11.48,1.46,10,1.67,3,0,36,0,36,56.59,46.04,0,0,2,0,0,10,1,0,0,10,0,0.05,0.07,1.41,12.34,0,0,1,0.93,NaN,54.42,13782,7500,-116.11,0
10/06/2025,15,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7601,0317601,0,618,0,1.34,16,629,2.54,13268.45,1470.63,57,99.69,3.67,9.6,4.9,209.22,10.44,62.7,14.18,93318,6981546,106147.62,1692.94,618,618,100,209.09,2.31,12900.76,10828.93,1470.61,236.86,0,0,4918.17,255.69,3.04,6.31,170.9,2.64,1.53,0,5882.39,501.96,3.56,2.94,13,1.08,3,0,59,0,74,38.12,17.39,0,0,4,0,0,9,1,0,0,9,0,18.02,0,153.49,NaN,0,0,1,1.85,NaN,61.42,11146,6846,-115.91,0
10/06/2025,15,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7718,0317718,0,1896,0,4.06,25,1830,1.37,18517.44,1654.73,95,99.77,5.41,12.07,6.03,229.17,4.01,71.04,12.69,875952,21591648,148139.5,2085.36,1896,1896,100,229.21,1.37,17992.49,15840.47,1656.11,176.98,0,0,3402.62,124.46,3.26,13.89,220.25,2.11,8.35,0,12406.15,1395.49,6.13,3.68,29,2.42,5,0,642,0,614,18.91,7.51,0,0,4,0,0,5,1,0,0,5,0,1.06,0,92.21,NaN,0,0,1,2.82,NaN,34.25,10926,3742,-116.07,0
10/06/2025,15,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_SANJOSE_GRP_7654,0317654,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
10/06/2025,15,ICL 1,N. California,031,Sunnyvale,4G5G_ABBOTT_STREET,0317319,7,3772,0.19,6.66,215,3610,5.96,65987.64,4084.82,149,98.67,6.87,48.32,34.19,109.51,1.98,89.34,15.66,8958065,134509520,527901.12,5908.63,3772,3765,100,109.81,5.96,64521.55,51900.03,4081.1,153.52,0.17,0,25222.71,1381.19,4.48,1.94,78.17,7.06,1.92,0.22,26535.37,1803.98,10.1,1.53,48,8,13,1,599,0,607,39.09,33.84,0,0,18,0,0,25,2,0,0,25,0,26.41,0.56,129.11,10.95,0,0,2,10.47,NaN,48.78,33347,16265,-115.31,0
10/06/2025,15,ICL 1,N. California,031,Sunnyvale,4G5G_ABORN_EAST,0317077,1,2088,0.05,0.37,29,1996,1.45,64840.41,7059.29,104,99.16,5.92,45.9,35.63,96.69,4.35,84.26,28.48,86228,23168448,518723.28,6156.52,2088,2087,50,92.64,1.45,45207.71,43560.13,5642.85,95.51,0.86,0,19491.46,2747.37,4.1,3.97,64.39,1.86,1.23,0.08,12889.01,1154.11,11.44,2.9,55,9.17,15,7,811,0,798,43.12,48.69,0,0,31,3.23,1,31,3,0,0,30,0,308.3,4.61,246,30.47,0,3.23,3,2.2,NaN,33.19,11060,3671,-115.26,0
