DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
10/06/2025,23,5GNR,Florida,147,Sarasota - Tampa2,4G5G_303070_LAKE_WALES_FL,1477028,0,1587,0,6.43,28,1581,1.77,84855.03,9121.07,111,96.73,6.46,48.51,34.78,87.77,2.13,112.94,34.82,631626,9829878,678840.24,6010.47,1587,1587,100,87.74,1.77,85060.14,80598.66,9119.11,108.99,1.54,0,56060.44,1817.59,4.45,1.05,65.95,2.01,0,0,23883.04,3474.95,11.03,1.4,57,9.5,21,12,779,0,780,65.91,19.93,0,0,10,0,0,11,2,0,0,11,0,1.1,0.87,116.21,3.09,0,0,2,1.35,NaN,38.49,5796,2231,-115.44,0.02
10/06/2025,23,5GNR,Florida,147,Sarasota - Tampa2,4G5G_303133_SEBRING_FL,1477030,1,1642,0.06,2.76,89,1668,5.34,123069.85,3637.69,106,98.64,4.44,48.7,40.92,127.8,2.41,139.24,13.83,285254,10318328,984558.83,7071.11,1642,1641,100,127.83,5.34,120534.95,98961.28,3639.52,141.13,6.27,0,84822.07,1951.09,3.78,3.55,64.75,3.67,0.15,0.17,12781.53,849.8,12,1.36,69,11.5,21,67,1068,0,1048,70.37,53.61,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,45.32,6114,2771,-115.22,0
10/06/2025,23,5GNR,Florida,147,Sarasota - Tampa2,4G5G_3RD_STREET_WATER_TANK,1477222,12,3703,0.32,0.38,106,3726,2.84,107533.2,7986.51,197,98.76,5.35,67.08,47.33,97.74,2.01,105.18,22.05,173617,45602445,860265.58,8178.65,3703,3691,100,97.69,2.84,105309.96,88693.05,7995.37,97.12,3.96,0,49892.53,2299.51,3.86,1.71,82.69,2.24,0.17,0.5,38486.61,3047.93,8.51,1.03,72,12,15,52,1314,0,1318,47.38,28.76,0,0,4,0,0,4,1,0,0,4,NaN,1.87,0,222.56,NaN,0,0,1,1.23,0,22.1,12308,2720,-114.82,0
10/06/2025,23,5GNR,Florida,147,Sarasota - Tampa2,4G5G_60TH_AND_14TH,1479066,0,95,0,0.21,1,98,1.02,445.46,39.57,6,99.9,11.19,2.9,4.01,57.8,5.5,24.68,3.03,95,44935,3563.71,144.38,95,95,100,57.8,1.02,432.27,283.59,39.6,NaN,NaN,NaN,0,0,NaN,NaN,49.35,1.02,49.18,0,283.59,28.35,8.13,5.13,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,1,0,0,1,0,0.15,0,143.4,NaN,NaN,0,1,1.78,NaN,18.86,472,89,-120.46,0
10/06/2025,23,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ABSOLUTE_TRAILER,1477260,0,784,0,0.96,4,811,0.49,26632.41,1606.51,56,99.9,13.22,32.71,16.73,84.6,1.33,73.68,9.1,23520,2446864,213059.25,2891.52,784,784,100,84.62,0.63,24507.93,18309.39,1606.79,123.85,0,0,9939.79,355.61,4.46,3.16,53.79,0.78,1.49,0,8339.03,1094.14,29.62,1.06,16,2.67,6,0,127,0,122,40.56,22.13,-22.22,-2,9,0,0,11,2,0,0,11,NaN,0.13,0.09,NaN,1.03,0,0,2,1.5,NaN,29.63,3091,916,-115.78,0
10/06/2025,23,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ACME_EAST_FROSTPROOF,1477365,0,1446,0,12.72,71,1436,4.94,19462.29,586.49,54,97.46,5.91,22.14,11.87,109.76,0.45,75.9,4.91,757704,5958966,155698.33,2051.23,1446,1446,100,110.23,5.06,19371.59,16388.81,586.35,134.66,5.29,0,13083.79,340.62,4.57,0.38,70.83,3.75,3.85,0,3263.88,146.12,15.17,0.58,43,7.17,26,48,907,0,924,67.54,58.09,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,50.76,3597,1826,-115.58,0
10/06/2025,23,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ACME_SANDHILL,1477156,0,570,0,5.95,7,586,1.19,7169.32,507.09,32,98.08,3.25,12.31,6.05,165.3,1.33,54.87,7.63,102030,1713990,57354.57,1045.35,570,570,50,165.26,0.87,7020.78,6080.14,507.3,137.37,0,0,2028.24,70.73,1.33,0.55,161.28,2.02,0,0,4041.35,371.74,3.82,1.35,10,1.67,5,0,261,0,262,28.89,13.94,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,41.62,2828,1177,-115.64,0
10/06/2025,23,5GNR,Florida,147,Sarasota - Tampa2,4G5G_AIR_STAR_TREK,1477268,0,2045,0,0.25,6,2017,0.3,77117.61,3144.63,115,98.4,6.62,26.95,29.3,83,1.73,75,6.17,130880,53349960,616940.88,8226.33,2045,2045,100,83.14,0.26,75752.04,51017.32,3160.07,93.64,0.23,0,38580.76,837.76,5.44,0.85,50.3,0.31,3.02,0,12208.17,809.6,12.45,1.92,75,8.33,25,2,878,0,894,50.93,26.51,-33.33,-1,3,0,0,4,1,0,0,4,NaN,0.16,0,110.63,NaN,0,0,1,1.41,NaN,10.53,26024,2741,-115.95,0
10/06/2025,23,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ALHAMBRA,1477149,0,284,0,0.61,3,300,1,12269.12,845.66,26,99.74,7.17,14.54,9.04,92.81,4.61,51.97,5.87,9656,1573360,98152.97,1888.56,284,284,100,93.28,0.47,11850.57,9322.14,848.53,123.29,0,0,6912.15,139.6,6.84,1.04,104.45,1.28,0,0,2391.12,482.31,8.12,6.07,13,1.86,8,0,135,0,124,58.33,16.45,-100,-2,2,0,0,4,1,0,0,4,NaN,0.03,0.04,NaN,18.17,0,0,1,1.21,NaN,9.99,5506,550,-115.8,0
10/06/2025,23,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ANCHORAGE,1477137,0,3148,0,1.15,21,3267,0.64,46620.29,2970.43,105,98.17,7.68,6.15,12.41,116.28,9.05,85.16,17.3,566640,49275644,372962.35,4379.75,3148,3148,100,116.78,0.64,46070.93,31922.14,2971.13,130.74,0.19,0,16318.99,1.43,4.58,NaN,86.2,1.49,2.3,0,15571.01,2.53,12.65,0.02,56,5.09,14,4,2123,0,2026,35.42,0.05,0,0,10,0,0,22,1,0,0,22,0,0.54,0.04,32.24,16.76,0,0,1,2.11,0,20.95,15473,3242,-117.07,0
