DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
10/06/2025,16,ICL 1,N. California,031,Sunnyvale,10TH_JACKSON,0319068,2,262,0.76,1.01,25,233,10.73,4176.4,707.06,16,97.66,20.72,21.2,28,25.27,1.75,11.05,2.47,25564,2531444,33411.17,3024.4,262,260,100,25.95,10.99,6774.21,881.26,704.65,NaN,NaN,NaN,0,0,NaN,NaN,18.17,10.99,0,0.98,879,122.84,16.75,2.71,0,0,0,0,0,0,0,0,0,-83.33,-5,6,0,0,32,2,0,0,32,0,3.23,0.19,9.25,4.44,0,0,2,2.17,0,33.73,9638,3251,-115.4,0.05
10/06/2025,16,ICL 1,N. California,031,Sunnyvale,4G5G_10TH_JACKSON,0317068,13,8556,0.15,10.71,848,8361,10.14,231688.71,25311.49,282,99.39,8.87,81.12,66.53,83.4,3.67,161.23,57.78,59214730,553119732,1853509.69,11496.26,8556,8543,50,83.6,11.02,169013.24,171161,18846,121.95,2.92,0,84754.25,3735.14,8.18,3.38,50.17,15.27,0.39,0.14,42840.58,3835.56,13.42,1.14,127,21.17,30,42,1440,0,1465,50.15,19.82,-108.33,-13,12,2.08,1,48,1,0,0,47,14.29,7.44,1.32,25.64,2.41,0,4.76,1,1.85,NaN,42.74,57814,24708,-112.22,0
10/06/2025,16,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7530,0317530,0,188,0,7.4,0,249,0,8960.79,1029.21,20,99.84,23.94,11.33,9.11,83.49,8.78,68.34,25.24,32148,434468,71686.31,1049.02,188,188,33.33,83.5,0,8714.02,6109.32,1028.91,74.58,0,0,1630.92,38.63,16.78,0.49,75.56,0,1.32,0,4477.17,71.95,38.12,1.5,13,3.25,5,0,17,0,17,18.72,3.75,0,0,1,0,0,1,1,0,0,1,NaN,0,0,NaN,NaN,0,0,1,2.25,NaN,34.95,2140,748,-116.41,0
10/06/2025,16,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7531,0317531,11,2595,0.42,7.28,38,2326,1.63,26474.49,7189.21,121,99.53,7.11,22.7,11.46,87.57,8.25,53.5,29.33,3553201,48814545,211795.93,3958.96,2595,2584,100,87.56,1.63,25689.06,19817.14,7185.64,150.32,0.59,0,6426.21,814.35,2.12,2.82,77.27,1.92,4.83,0.53,13348.26,4643.39,9.77,9.17,38,3.17,11,3,506,0,531,25.02,11.33,0,0,19,0,0,26,2,0,0,26,0,24.36,0.02,318.07,17.16,0,0,2,1.87,0,43.25,17516,7576,-116.22,0
10/06/2025,16,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7532,0317532,0,1197,0,6.34,48,1128,4.26,14936.07,1020.01,59,98.6,6.9,19.6,11.39,88.1,2.25,60.7,9.64,1135953,17910711,119488.58,1968.48,1197,1197,50,87.67,4.47,14540.86,12801.44,1018.81,155.89,3.17,0,6377.58,210.15,2.29,1.15,73.06,4.6,0.09,0,6340.72,626.81,11.19,2.14,14,2.33,4,2,63,0,64,43.86,20.63,NaN,0,0,0,0,5,1,0,0,5,0,0,0,NaN,NaN,NaN,0,1,NaN,NaN,53.56,14014,7506,-116.17,0
10/06/2025,16,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7601,0317601,3,582,0.52,3.1,32,569,5.62,16531.53,1802.8,55,99.61,3.77,9.07,4.97,193.31,16.39,76.93,18.4,200058,6461364,132252.28,1719.21,582,579,100,193.29,5.62,16139.99,13783.98,1801.73,211.79,0,0,7010.24,251.69,1.8,15.64,167.53,6.07,0.74,0.58,6688.36,1103.29,5.02,12.78,13,1.08,3,0,42,0,64,43.43,13.97,0,0,4,0,0,9,1,0,0,9,0,0.07,0.02,NaN,NaN,0,0,1,1.36,NaN,60.69,10814,6563,-115.89,0
10/06/2025,16,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7718,0317718,0,1851,0,3.18,44,1783,2.47,16120,3847.41,93,99.75,4.61,12.82,6.05,178.29,18.47,61.64,27.79,638595,20085201,128960.02,2092.24,1851,1851,100,178.22,2.64,11990.27,11880.04,2474.79,72.65,0,0,1558.27,75.74,4.93,10.36,168.48,4.26,6.43,0,7615.23,970.05,4.97,3.25,28,2.33,5,0,363,0,355,13,3.06,-37.5,-3,8,0,0,15,1,0,0,15,0,13.24,0.18,191.91,43.27,0,0,1,1.53,0,34.95,10506,3672,-116.07,0
10/06/2025,16,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_SANJOSE_GRP_7654,0317654,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
10/06/2025,16,ICL 1,N. California,031,Sunnyvale,4G5G_ABBOTT_STREET,0317319,3,3184,0.09,7.33,182,3053,5.96,74517.04,4059.35,157,98.76,6.92,48.77,35.77,103.93,2.02,96.45,15.41,7898220,107819792,596136.34,6181.02,3184,3181,100,103.88,5.96,72920.02,57179.98,4069.26,129.11,0.17,0,28503.6,1412.85,4.2,1.63,75.78,7.39,1.98,0.12,28522.83,1946.07,11.14,1.91,49,8.17,13,1,603,0,609,39.09,34.72,0,0,13,0,0,23,2,0,0,23,0,1.26,0.04,139.06,2.58,0,0,2,1.77,NaN,51.45,31412,16161,-115.3,0
10/06/2025,16,ICL 1,N. California,031,Sunnyvale,4G5G_ABORN_EAST,0317077,2,2250,0.09,0.55,51,2166,2.35,64150.57,5625.13,115,98.69,7.69,43,35.46,91.27,3.95,83.75,24.23,160966,29346750,513204.58,6127.49,2250,2248,50,91.25,2.82,61471.19,45488.24,5622.24,114.14,0.94,0,30616.38,2228.23,5.35,3.74,57.28,4.03,0.74,0.18,14733.01,1410.19,14.81,2.59,63,10.5,18,6,638,0,620,49.81,39.63,-25,-7,28,0,0,36,3,0,0,36,0,209.88,1.51,36.68,22.04,0,0,3,2.25,0,33.39,12983,4335,-115.16,0
