DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
10/06/2025,16,5GNR,Florida,147,Sarasota - Tampa2,4G5G_303070_LAKE_WALES_FL,1477028,1,5383,0.02,6.82,97,5309,1.83,100731.87,7907.81,229,97.6,10.13,50.27,38.69,74.31,1.89,120.54,29.13,11807993,173208791,805854.93,6685.6,5383,5382,100,74.31,1.94,99943.09,92367.93,7908.62,119.4,1.59,0,46297.44,2082.39,5.95,2.44,57.47,2.02,0.02,0.03,45703.01,4405.93,12.85,1.41,59,9.83,25,12,756,0,738,46.32,26.33,-57.14,-8,14,0,0,23,2,0,0,23,0,185.21,1.75,98.78,7.96,0,0,2,1.22,0,38.05,29989,11412,-115.21,0
10/06/2025,16,5GNR,Florida,147,Sarasota - Tampa2,4G5G_303133_SEBRING_FL,1477030,2,3828,0.05,6.29,279,3698,7.54,107364.31,4890.64,168,98.44,6.19,53.94,40.5,90.46,1.25,122.72,16.79,5528574,87883224,858914.52,6999.15,3828,3826,100,90.44,7.54,105169.15,91254.13,4887.02,120.08,10.68,0,64941.94,2280.34,4.76,1.55,51.59,5.97,0.05,0.08,25828.57,2182.34,10.61,1.02,74,12.33,22,132,1236,0,1266,61.75,46.66,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,44.35,21525,9547,-115.11,0
10/06/2025,16,5GNR,Florida,147,Sarasota - Tampa2,4G5G_3RD_STREET_WATER_TANK,1477222,9,15766,0.06,0.1,401,15574,2.57,235655.9,24181.39,529,99.08,11.7,91.85,75.86,53.32,1.73,143.81,48.76,958277,961016530,1885247.19,13109.46,15766,15757,100,52.65,2.57,111889.52,208763.04,13216.77,70.12,2.06,0,28137.22,3814.31,8.33,4.66,47.24,2.61,0.16,0.06,73315.28,7599.61,13.62,1.09,76,12.67,17,21,1017,0,1052,25.15,28.86,0,0,41,2.94,2,68,3,0,0,66,0,10.87,2.22,16.24,10.52,0,2.94,3,1.33,0,17.15,60929,10448,-113.1,0
10/06/2025,16,5GNR,Florida,147,Sarasota - Tampa2,4G5G_60TH_AND_14TH,1479066,0,412,0,0.03,7,394,1.78,3996.04,512.82,12,99.91,14.04,23.63,31.68,62.38,7.59,28.03,4.82,412,1283792,31968.3,1140.51,412,412,100,62.37,1.78,3893.07,2713.83,512.93,NaN,NaN,NaN,0,0,NaN,NaN,73.11,1.78,31.25,0,2713.83,262.04,13.21,7.6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,0,7,0,0.19,1.2,39.04,41.67,0,0,1,1.52,NaN,10.27,3115,320,-120.17,0
10/06/2025,16,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ABSOLUTE_TRAILER,1477260,3,2126,0.14,0.61,29,2124,1.37,28891.01,2304.14,100,99.72,8.14,35.74,19.13,80.95,1.04,69.91,11.94,121264,19737784,231128.05,3306.09,2126,2123,100,80.94,1.37,26601.15,19649.26,2303.21,115.47,0,0,4925.24,509.99,2.45,2.14,60.09,1.51,4.96,0.16,14671.73,1420.19,10.83,0.77,13,2.17,5,0,199,0,193,18.52,22.14,0,0,11,0,0,11,2,0,0,11,0,18.67,0,376.66,NaN,0,0,2,10.31,0,28.07,9240,2594,-115.6,0
10/06/2025,16,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ACME_EAST_FROSTPROOF,1477365,0,1942,0,12.32,116,1946,5.96,45788.22,1347.8,70,97.6,7.26,26.99,18.65,95.24,0.85,113.68,9.25,1710902,13883358,366305.74,3222.28,1942,1942,100,95.22,6.21,45450.16,43868.48,1348.46,107.33,7.74,0,36564.74,725.63,6.3,0.63,58.11,4.84,0.3,0,7146.27,578.81,12.62,1.2,38,6.33,21,52,672,0,672,80.45,53.81,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,50.45,6268,3162,-115.52,0
10/06/2025,16,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ACME_SANDHILL,1477156,3,2231,0.13,6.24,76,2151,3.53,23843.25,2008.32,111,97.91,4.09,34.88,17.64,150.37,1.23,62.57,10.66,2611757,41824557,190746.03,3048.44,2231,2228,50,150.77,3.53,23403.25,19655.95,2013.26,104.71,0,0,956.19,76.13,2.66,0.64,139.05,4.03,0.26,0.15,18612.79,1283.03,4.15,0.79,12,2,5,0,263,0,268,4.09,3.78,0,0,6,0,0,7,1,0,0,7,0,0.07,0,NaN,0.63,0,0,1,1.81,0,43.27,17600,7615,-115.31,0
10/06/2025,16,5GNR,Florida,147,Sarasota - Tampa2,4G5G_AIR_STAR_TREK,1477268,2,4266,0.05,0.28,85,4104,2.07,101425.1,10361.98,182,98.24,10.09,40.8,41.67,61.02,2.66,69.35,13.44,541726,191419686,811400.82,11700.08,4266,4264,100,59.35,1.87,72657.03,61591.4,7719.54,78.83,0.43,0,27307.13,993.64,8.77,0.88,36.04,2.46,4.23,0,15793.24,2012.66,16.43,2.3,78,8.67,24,4,923,0,947,37.58,12.87,-25,-6,24,0,0,60,3,0,0,60,0,31.95,0,46.73,NaN,0,0,3,5.34,0,15.42,44765,6903,-115.31,0
10/06/2025,16,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ALHAMBRA,1477149,0,1265,0,0.26,35,1307,2.68,24470.03,1991.22,66,99.59,9.36,21.95,17.4,70.17,3.97,53.88,9.16,45540,17341885,195760.24,3633.25,1265,1265,100,70.95,2.68,23616.2,12844.16,1991.36,103.71,0.48,0,5889.34,92.18,4.28,1.02,63.41,3.09,0.46,0,6933.03,1127.66,14.18,3.64,13,1.86,7,1,207,0,200,24.94,4.63,0,0,30,0,0,39,2,0,0,39,0,17.31,1.12,138.17,24.72,0,0,2,1.57,NaN,14.71,13673,2011,-115.73,0.01
10/06/2025,16,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ANCHORAGE,1477137,4,7201,0.06,4.92,209,7277,2.87,62015.34,3568.91,177,98.9,9.17,9.92,19.62,86.6,11.42,71.67,12.89,16138057,328199977,496122.71,6921.99,7201,7197,100,87.62,2.75,45456.78,39291.38,3036.51,163.67,0,0,5018.08,0.72,4.89,0.06,68.59,4.05,4.81,0.11,23441.88,4.71,13.11,0.29,53,4.82,13,0,1755,0,1716,11.04,0.02,-40,-10,25,1.75,1,57,2,0,0,56,0,38.29,0.16,27.04,0.12,0,0,2,3.95,0,30,43360,13006,-116.83,0
